Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Myles Turner,27,54,54,1483,10.7,20.3,0.528,2.3,7.0,0.33,8.4,13.4,0.631,5.9,7.5,0.792,2.7,9.3,11.9,2.3,1.0,2.9,2.5,5.4,29.7,,121,116
2,Tyrese Haliburton,23,45,44,1441,11.5,23.2,0.494,4.6,11.5,0.397,6.9,11.7,0.591,4.4,5.1,0.854,0.8,4.8,5.6,17.1,1.6,1.0,3.5,1.5,31.9,,132,120
3,Bennedict Mathurin,21,54,17,1393,8.9,20.1,0.446,2.3,6.2,0.368,6.7,13.9,0.481,5.4,6.6,0.826,1.9,5.4,7.3,3.6,1.1,0.4,3.0,3.4,25.6,,109,122
4,Aaron Nesmith,24,51,26,1381,8.0,15.4,0.519,3.7,8.1,0.452,4.3,7.3,0.593,2.2,3.2,0.702,1.6,5.1,6.7,2.4,1.8,1.2,1.7,5.8,21.9,,123,119
5,Buddy Hield,31,52,28,1336,8.0,18.1,0.443,4.8,12.5,0.384,3.2,5.6,0.575,1.0,1.2,0.848,1.2,4.7,5.9,4.9,1.5,1.1,2.2,3.6,21.9,,115,120
6,Obi Toppin,25,58,28,1294,8.7,15.4,0.567,2.7,6.6,0.41,6.0,8.8,0.686,2.1,2.8,0.74,2.3,5.9,8.2,3.4,1.1,1.1,1.8,3.8,22.2,,128,120
7,Andrew Nembhard,24,44,23,1025,7.8,15.5,0.501,1.5,4.4,0.344,6.3,11.1,0.564,1.4,1.7,0.789,1.1,2.7,3.8,9.1,1.8,0.2,3.3,3.9,18.4,,113,122
8,Bruce Brown,27,33,33,981,7.1,15.0,0.475,1.6,4.8,0.327,5.5,10.2,0.545,3.2,3.9,0.817,1.2,6.2,7.4,4.8,1.7,0.4,2.0,3.9,19.0,,116,120
9,T.J. McConnell,31,47,4,817,10.2,18.9,0.541,0.3,1.2,0.238,9.9,17.7,0.562,2.1,2.7,0.766,1.3,5.8,7.1,14.9,2.8,0.3,4.1,2.9,22.8,,119,118
10,Jalen Smith,23,39,13,704,10.7,17.2,0.622,2.9,6.3,0.463,7.8,10.9,0.713,3.0,4.3,0.703,4.1,10.4,14.5,2.7,0.7,1.7,2.1,5.9,27.4,,135,118
11,Isaiah Jackson,22,45,3,613,9.6,14.4,0.661,0.0,0.3,0.0,9.6,14.1,0.676,4.6,6.4,0.714,5.0,8.9,13.9,3.0,2.1,3.8,2.5,8.9,23.7,,132,113
12,Pascal Siakam,29,17,17,560,12.1,21.6,0.562,1.8,4.2,0.42,10.4,17.4,0.596,3.5,5.4,0.646,2.5,7.0,9.5,6.4,1.3,0.3,2.1,3.8,29.5,,125,120
13,Ben Sheppard,22,35,0,384,5.5,13.4,0.409,3.1,8.9,0.342,2.4,4.5,0.541,1.7,2.1,0.824,0.9,4.8,5.6,3.4,2.2,0.1,0.9,5.6,15.7,,117,120
14,Jordan Nwora,25,18,0,183,9.5,21.0,0.451,2.8,9.2,0.306,6.7,11.8,0.565,2.3,2.8,0.818,2.0,6.4,8.4,4.6,1.5,0.3,3.1,4.9,24.1,,106,120
15,Jarace Walker,20,18,0,176,7.5,17.6,0.424,3.2,8.5,0.375,4.3,9.1,0.471,1.6,1.9,0.857,2.1,5.6,7.7,5.3,2.4,1.6,2.7,4.5,19.7,,109,117
16,Doug McDermott,32,5,0,61,5.4,16.9,0.318,3.1,13.8,0.222,2.3,3.1,0.75,0.8,1.5,0.5,0.8,1.5,2.3,3.1,0.0,0.0,0.8,2.3,14.6,,93,127
17,Oscar Tshiebwe,24,7,0,37,11.4,21.5,0.529,0.0,0.0,,11.4,21.5,0.529,6.3,7.6,0.833,7.6,10.1,17.7,2.5,2.5,0.0,0.0,2.5,29.1,,137,116
18,James Johnson,36,5,0,24,3.9,9.8,0.4,0.0,2.0,0.0,3.9,7.8,0.5,0.0,0.0,,2.0,5.9,7.8,9.8,7.8,0.0,3.9,7.8,7.8,,95,107
19,Kendall Brown,20,5,0,20,7.0,14.1,0.5,0.0,2.3,0.0,7.0,11.7,0.6,9.4,14.1,0.667,4.7,0.0,4.7,4.7,0.0,0.0,0.0,9.4,23.4,,139,127
20,Daniel Theis,31,1,0,8,5.9,23.4,0.25,0.0,5.9,0.0,5.9,17.6,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,11.7,,55,127
