Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Myles Turner,27,54,1483,,,,,100%,4.7,5.6,17,24,95,35,124,9,168,38,32
2,Tyrese Haliburton,23,45,1441,95%,5%,,,,6.2,8.7,83,13,29,4,72,6,1257,32,42
3,Bennedict Mathurin,21,54,1393,,4%,67%,29%,,-1.8,-7.7,42,25,58,13,99,8,265,25,67
4,Aaron Nesmith,24,51,1381,,13%,69%,18%,,1.9,-0.3,24,8,101,10,42,26,168,13,36
5,Buddy Hield,31,52,1336,,57%,42%,1%,,2.4,0.6,34,20,59,2,6,0,320,1,20
6,Obi Toppin,25,58,1294,,,,89%,11%,1.9,-0.2,24,13,61,8,39,2,217,13,21
7,Andrew Nembhard,24,44,1025,50%,50%,,,,2.3,0.4,36,20,39,5,20,13,479,4,14
8,Bruce Brown,27,33,981,2%,91%,7%,,,3.5,2.3,14,18,42,3,38,1,242,11,20
9,T.J. McConnell,31,47,817,100%,,,,,0.8,-1.8,39,17,26,3,23,25,618,7,21
10,Jalen Smith,23,39,704,,,,25%,75%,-2.4,-6.0,7,14,59,6,33,5,91,12,8
11,Isaiah Jackson,22,45,613,,,,7%,93%,0.1,-2.5,11,3,60,15,41,3,88,11,20
12,Pascal Siakam,29,17,560,,,5%,93%,1%,5.0,3.7,8,10,17,6,32,1,188,8,10
13,Ben Sheppard,22,35,384,18%,78%,4%,,,0.8,-1.5,5,1,27,1,6,2,65,1,6
14,Jordan Nwora,25,18,183,,2%,60%,38%,,-4.1,-6.6,6,2,9,1,7,1,39,3,3
15,Jarace Walker,20,18,176,,,20%,72%,8%,-0.6,-2.9,5,5,8,0,2,1,43,1,1
16,Doug McDermott,32,5,61,,,99%,1%,,-5.3,-7.5,1,0,3,0,1,0,9,1,0
17,Oscar Tshiebwe,24,7,37,,,,11%,89%,4.6,2.6,0,0,2,0,3,0,5,0,4
18,James Johnson,36,5,24,,,,74%,26%,15.7,13.8,1,0,1,1,0,0,12,0,1
19,Kendall Brown,20,5,20,,36%,64%,,,-19.2,-21.4,0,0,2,0,3,0,4,0,0
20,Daniel Theis,31,1,8,,,,100%,,-5.8,-7.9,0,0,0,0,0,1,0,0,1
