No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
1,Obi Toppin,PF,6-9,220,"March 4, 1998",us,3,Dayton
33,Myles Turner,C,6-11,250,"March 24, 1996",us,8,Texas
0,Bennedict Mathurin,SF,6-6,210,"June 19, 2002",ca,1,Arizona
23,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us,3,Vanderbilt
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us,8,"Duquesne, Arizona"
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us,3,Iowa State
22,Isaiah Jackson,C,6-10,206,"January 10, 2002",us,2,Kentucky
2,Andrew Nembhard,PG,6-5,193,"January 16, 2000",ca,1,"Florida, Gonzaga"
25,Jalen Smith,C,6-10,215,"March 16, 2000",us,3,Maryland
26,Ben Sheppard,SG,6-6,190,"July 16, 2001",us,R,Belmont
5,Jarace Walker,PF,6-8,240,"September 4, 2003",us,R,Houston
43,Pascal Siakam,PF,6-8,230,"April 2, 1994",cm,7,New Mexico State
44,Oscar Tshiebwe (TW),PF,6-9,260,"November 27, 1999",cd,R,"West Virginia, Kentucky"
20,Doug McDermott,SF,6-6,225,"January 3, 1992",us,9,Creighton
10,Kendall Brown (TW),SG,6-8,205,"May 11, 2003",us,1,Baylor
16,James Johnson,PF,6-7,240,"February 20, 1987",us,14,Wake Forest
21,Isaiah Wong (TW),SG,6-4,184,"January 28, 2001",us,R,Miami (FL)
