Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Myles Turner,27,54,54,1483,8.3,15.6,0.528,1.8,5.4,0.33,6.5,10.3,0.631,4.5,5.7,0.792,2.0,7.1,9.2,1.7,0.8,2.3,1.9,4.2,22.8
2,Tyrese Haliburton,23,45,44,1441,8.8,17.8,0.494,3.5,8.9,0.397,5.3,9.0,0.591,3.3,3.9,0.854,0.6,3.7,4.3,13.1,1.2,0.7,2.7,1.1,24.5
3,Bennedict Mathurin,21,54,17,1393,6.9,15.4,0.446,1.8,4.8,0.368,5.1,10.6,0.481,4.2,5.0,0.826,1.4,4.1,5.6,2.8,0.8,0.3,2.3,2.6,19.7
4,Aaron Nesmith,24,51,26,1381,6.1,11.8,0.519,2.8,6.2,0.452,3.3,5.6,0.593,1.7,2.5,0.702,1.3,3.9,5.2,1.9,1.4,0.9,1.3,4.4,16.8
5,Buddy Hield,31,52,28,1336,6.2,13.9,0.443,3.7,9.6,0.384,2.5,4.3,0.575,0.8,0.9,0.848,0.9,3.6,4.5,3.7,1.2,0.8,1.7,2.8,16.8
6,Obi Toppin,25,58,28,1294,6.7,11.8,0.567,2.1,5.1,0.41,4.6,6.7,0.686,1.6,2.1,0.74,1.8,4.5,6.3,2.6,0.8,0.8,1.4,2.9,17.1
7,Andrew Nembhard,24,44,23,1025,6.0,11.9,0.501,1.2,3.4,0.344,4.8,8.5,0.564,1.1,1.3,0.789,0.9,2.1,3.0,7.0,1.4,0.1,2.6,3.0,14.2
8,Bruce Brown,27,33,33,981,5.5,11.5,0.475,1.2,3.7,0.327,4.3,7.8,0.545,2.5,3.0,0.817,0.9,4.7,5.7,3.7,1.3,0.3,1.5,3.0,14.6
9,T.J. McConnell,31,47,4,817,7.8,14.5,0.541,0.2,0.9,0.238,7.6,13.6,0.562,1.6,2.1,0.766,1.0,4.5,5.4,11.5,2.1,0.2,3.2,2.2,17.5
10,Jalen Smith,23,39,13,704,8.2,13.2,0.622,2.3,4.9,0.463,6.0,8.4,0.713,2.3,3.3,0.703,3.2,8.0,11.1,2.1,0.6,1.3,1.6,4.6,21.0
11,Isaiah Jackson,22,45,3,613,7.3,11.1,0.661,0.0,0.2,0.0,7.3,10.9,0.676,3.5,4.9,0.714,3.8,6.9,10.7,2.3,1.6,2.9,1.9,6.8,18.2
12,Pascal Siakam,29,17,17,560,9.3,16.6,0.562,1.4,3.2,0.42,8.0,13.4,0.596,2.7,4.2,0.646,1.9,5.4,7.3,4.9,1.0,0.3,1.6,3.0,22.7
13,Ben Sheppard,22,35,0,384,4.2,10.3,0.409,2.3,6.8,0.342,1.9,3.5,0.541,1.3,1.6,0.824,0.7,3.7,4.3,2.6,1.7,0.1,0.7,4.3,12.1
14,Jordan Nwora,25,18,0,183,7.3,16.1,0.451,2.2,7.1,0.306,5.1,9.0,0.565,1.8,2.2,0.818,1.6,4.9,6.5,3.5,1.2,0.2,2.4,3.7,18.5
15,Jarace Walker,20,18,0,176,5.7,13.5,0.424,2.5,6.5,0.375,3.3,7.0,0.471,1.2,1.4,0.857,1.6,4.3,5.9,4.1,1.8,1.2,2.0,3.5,15.1
16,Doug McDermott,32,5,0,61,4.1,13.0,0.318,2.4,10.6,0.222,1.8,2.4,0.75,0.6,1.2,0.5,0.6,1.2,1.8,2.4,0.0,0.0,0.6,1.8,11.2
17,Oscar Tshiebwe,24,7,0,37,8.8,16.5,0.529,0.0,0.0,,8.8,16.5,0.529,4.9,5.8,0.833,5.8,7.8,13.6,1.9,1.9,0.0,0.0,1.9,22.4
18,James Johnson,36,5,0,24,3.0,7.5,0.4,0.0,1.5,0.0,3.0,6.0,0.5,0.0,0.0,,1.5,4.5,6.0,7.5,6.0,0.0,3.0,6.0,6.0
19,Kendall Brown,20,5,0,20,5.4,10.8,0.5,0.0,1.8,0.0,5.4,9.0,0.6,7.2,10.8,0.667,3.6,0.0,3.6,3.6,0.0,0.0,0.0,7.2,18.0
20,Daniel Theis,31,1,0,8,4.5,18.0,0.25,0.0,4.5,0.0,4.5,13.5,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,9.0
