Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Myles Turner,27,54,1483,19.1,0.628,0.343,0.366,6.5,22.8,14.6,6.5,1.0,5.0,9.7,23.3,,2.6,1.4,4.0,0.129,,0.7,-0.3,0.4,0.9
2,Tyrese Haliburton,23,45,1441,25.3,0.626,0.497,0.22,2.1,11.7,6.9,49.7,1.6,1.7,12.1,25.8,,5.9,0.8,6.6,0.221,,8.7,-0.5,8.2,3.7
3,Bennedict Mathurin,21,54,1393,12.5,0.557,0.31,0.327,4.6,13.2,8.9,9.8,1.1,0.6,11.6,23.2,,0.4,0.5,1.0,0.034,,-1.5,-2.3,-3.9,-0.7
4,Aaron Nesmith,24,51,1381,13.8,0.651,0.528,0.208,4.0,12.5,8.2,6.5,1.8,2.0,9.2,16.5,,2.0,0.9,2.9,0.102,,0.3,-0.1,0.1,0.7
5,Buddy Hield,31,52,1336,12.9,0.586,0.691,0.064,2.9,11.5,7.2,12.9,1.5,1.8,10.4,18.5,,1.1,0.7,1.8,0.065,,1.0,-0.8,0.2,0.7
6,Obi Toppin,25,58,1294,15.4,0.669,0.431,0.181,5.6,14.5,10.0,9.2,1.1,1.8,10.0,16.4,,2.5,0.7,3.1,0.116,,1.3,-0.8,0.5,0.8
7,Andrew Nembhard,24,44,1025,12.0,0.566,0.283,0.112,2.8,6.6,4.7,23.9,1.8,0.3,17.0,17.5,,0.7,0.4,1.1,0.053,,-1.4,-0.9,-2.3,-0.1
8,Bruce Brown,27,33,981,12.1,0.568,0.322,0.261,2.9,15.1,9.0,12.3,1.7,0.6,10.5,16.6,,0.8,0.6,1.4,0.068,,-1.7,-0.6,-2.3,-0.1
9,T.J. McConnell,31,47,817,19.0,0.568,0.064,0.143,3.1,14.2,8.6,41.8,2.8,0.5,17.1,21.5,,1.4,0.7,2.1,0.122,,1.4,0.0,1.4,0.7
10,Jalen Smith,23,39,704,20.4,0.716,0.367,0.247,10.1,25.5,17.8,7.8,0.7,2.8,10.0,18.9,,2.0,0.6,2.6,0.175,,3.0,-0.6,2.4,0.8
11,Isaiah Jackson,22,45,613,20.6,0.686,0.021,0.444,12.1,22.0,17.0,8.2,2.1,6.5,12.7,17.6,,1.6,0.8,2.4,0.186,,-0.5,1.6,1.1,0.5
12,Pascal Siakam,29,17,560,19.7,0.616,0.194,0.252,6.1,17.3,11.7,18.9,1.3,0.6,8.0,23.2,,1.3,0.3,1.6,0.138,,3.0,-0.3,2.7,0.7
13,Ben Sheppard,22,35,384,9.4,0.549,0.664,0.155,2.1,11.7,6.9,8.5,2.2,0.2,5.6,13.5,,0.3,0.2,0.5,0.065,,-3.1,0.1,-3.0,-0.1
14,Jordan Nwora,25,18,183,12.1,0.541,0.439,0.134,5.0,15.7,10.3,12.7,1.5,0.4,12.1,22.5,,0.0,0.1,0.1,0.024,,-1.9,-2.2,-4.2,-0.1
15,Jarace Walker,20,18,176,12.8,0.536,0.485,0.106,5.2,13.7,9.5,13.9,2.4,2.7,12.6,18.8,,0.0,0.2,0.2,0.055,,-0.6,0.1,-0.5,0.1
16,Doug McDermott,32,5,61,3.3,0.415,0.818,0.091,1.9,3.8,2.8,7.6,0.0,0.0,4.2,16.3,,-0.1,0.0,-0.1,-0.063,,-4.9,-4.0,-9.0,-0.1
17,Oscar Tshiebwe,24,7,37,24.9,0.586,0.0,0.353,18.5,24.9,21.7,7.4,2.5,0.0,0.0,22.2,,0.1,0.0,0.2,0.229,,4.8,-2.0,2.9,0.0
18,James Johnson,36,5,24,11.6,0.4,0.2,0.0,4.8,14.4,9.6,23.3,7.8,0.0,28.6,12.2,,0.0,0.0,0.0,0.054,,-5.1,4.6,-0.5,0.0
19,Kendall Brown,20,5,20,14.0,0.579,0.167,1.0,11.4,0.0,5.7,12.1,0.0,0.0,0.0,18.0,,0.1,0.0,0.1,0.156,,-0.1,-2.3,-2.4,0.0
20,Daniel Theis,31,1,8,-6.8,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,,0.0,0.0,0.0,-0.264,,-13.2,-7.3,-20.5,0.0
