Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Myles Turner,27,54,1483,0.528,12.8,,0.657,0.259,0.264,0.075,0.059,0.343,,0.631,0.772,0.524,0.521,0.632,0.33,,0.783,1.0,,0.076,46,,0.122,0.222,,0,0
2,Tyrese Haliburton,23,45,1441,0.494,17.4,,0.503,0.16,0.171,0.098,0.074,0.497,,0.591,0.632,0.598,0.571,0.509,0.397,,0.292,0.433,,0.027,19,,0.065,0.478,,2,0
3,Bennedict Mathurin,21,54,1393,0.446,12.1,,0.69,0.28,0.26,0.092,0.059,0.31,,0.481,0.587,0.387,0.455,0.429,0.368,,0.586,0.75,,0.03,16,,0.108,0.45,,0,0
4,Aaron Nesmith,24,51,1381,0.519,15.0,,0.472,0.269,0.15,0.044,0.009,0.528,,0.593,0.689,0.456,0.45,0.75,0.452,,0.677,0.981,,0.057,24,,0.439,0.495,,0,0
5,Buddy Hield,31,52,1336,0.443,19.4,,0.309,0.164,0.097,0.017,0.031,0.691,,0.575,0.635,0.54,0.333,0.5,0.384,,0.717,0.912,,0.012,5,,0.162,0.379,,0,0
6,Obi Toppin,25,58,1294,0.567,12.7,,0.569,0.365,0.179,0.024,0.002,0.431,,0.686,0.806,0.487,0.4,0.0,0.41,,0.807,1.0,,0.186,70,,0.333,0.426,,2,0
7,Andrew Nembhard,24,44,1025,0.501,13.4,,0.717,0.192,0.236,0.192,0.097,0.283,,0.564,0.723,0.475,0.554,0.485,0.344,,0.387,0.909,,0.003,1,,0.229,0.5,,0,0
8,Bruce Brown,27,33,981,0.475,12.9,,0.678,0.207,0.264,0.162,0.045,0.322,,0.545,0.692,0.458,0.529,0.429,0.327,,0.552,0.909,,0.019,6,,0.436,0.386,,1,0
9,T.J. McConnell,31,47,817,0.541,8.4,,0.936,0.237,0.407,0.271,0.021,0.064,,0.562,0.718,0.56,0.427,0.571,0.238,,0.301,1.0,,0.0,0,,0.238,0.4,,1,0
10,Jalen Smith,23,39,704,0.622,12.0,,0.633,0.413,0.166,0.015,0.039,0.367,,0.713,0.785,0.605,0.75,0.4,0.463,,0.692,1.0,,0.154,38,,0.147,0.429,,1,0
11,Isaiah Jackson,22,45,613,0.661,3.3,,0.979,0.667,0.27,0.032,0.011,0.021,,0.676,0.778,0.431,0.667,0.5,0.0,,0.824,,,0.354,59,,0.5,0.0,,0,0
12,Pascal Siakam,29,17,560,0.562,10.2,,0.806,0.306,0.271,0.151,0.078,0.194,,0.596,0.684,0.543,0.538,0.55,0.42,,0.452,0.952,,0.008,1,,0.26,0.615,,0,0
13,Ben Sheppard,22,35,384,0.409,18.0,,0.336,0.191,0.073,0.064,0.009,0.664,,0.541,0.667,0.25,0.429,1.0,0.342,,0.5,1.0,,0.018,2,,0.425,0.419,,0,0
14,Jordan Nwora,25,18,183,0.451,14.0,,0.561,0.317,0.159,0.049,0.037,0.439,,0.565,0.654,0.462,0.5,0.333,0.306,,0.731,1.0,,0.049,4,,0.278,0.3,,0,0
15,Jarace Walker,20,18,176,0.424,17.4,,0.515,0.152,0.152,0.076,0.136,0.485,,0.471,0.4,0.3,0.8,0.556,0.375,,0.625,0.833,,0.045,3,,0.188,0.333,,0,0
16,Doug McDermott,32,5,61,0.318,22.4,,0.182,0.045,0.045,0.045,0.045,0.818,,0.75,1.0,1.0,1.0,0.0,0.222,,0.667,1.0,,0.0,0,,0.278,0.4,,0,0
17,Oscar Tshiebwe,24,7,37,0.529,5.6,,1.0,0.235,0.647,0.0,0.118,0.0,,0.529,0.75,0.455,,0.5,,,0.778,,,0.118,2,,,,,0,0
18,James Johnson,36,5,24,0.4,12.0,,0.8,0.2,0.4,0.2,0.0,0.2,,0.5,1.0,0.5,0.0,,0.0,,0.5,,,0.2,1,,0.0,,,0,0
19,Kendall Brown,20,5,20,0.5,9.0,,0.833,0.333,0.333,0.167,0.0,0.167,,0.6,1.0,0.5,0.0,,0.0,,0.667,,,0.0,0,,0.0,,,0,0
20,Daniel Theis,31,1,8,0.25,9.4,,0.75,0.25,0.5,0.0,0.0,0.25,,0.333,1.0,0.0,,,0.0,,1.0,,,0.25,1,,0.0,,,0,0
