Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Jerami Grant,29.0,49,49.0,1666,360,795,0.453,102,255,0.4,258,540,0.478,0.517,237,293,0.809,36,142,178,134,37,33,103,108,1059
2.0,Toumani Camara,23.0,55,35.0,1296,142,330,0.43,40,134,0.299,102,196,0.52,0.491,55,76,0.724,101,160,261,56,54,25,65,135,379
3.0,Matisse Thybulle,26.0,54,19.0,1247,98,258,0.38,67,197,0.34,31,61,0.508,0.51,16,20,0.8,22,82,104,67,94,41,28,77,279
4.0,Deandre Ayton,25.0,39,39.0,1245,259,456,0.568,0,0,,259,456,0.568,0.568,42,51,0.824,118,295,413,67,40,30,67,88,560
5.0,Scoot Henderson,19.0,43,16.0,1160,190,506,0.375,52,168,0.31,138,338,0.408,0.427,121,148,0.818,38,89,127,202,24,10,127,129,553
6.0,Jabari Walker,21.0,52,14.0,1140,156,337,0.463,27,101,0.267,129,236,0.547,0.503,86,114,0.754,105,225,330,41,31,20,49,116,425
7.0,Malcolm Brogdon,31.0,39,25.0,1121,218,496,0.44,82,199,0.412,136,297,0.458,0.522,95,116,0.819,28,120,148,214,27,8,60,58,613
8.0,Anfernee Simons,24.0,33,33.0,1110,257,602,0.427,109,287,0.38,148,315,0.47,0.517,119,130,0.915,15,102,117,172,16,4,86,75,742
9.0,Shaedon Sharpe,20.0,32,25.0,1059,176,434,0.406,60,180,0.333,116,254,0.457,0.475,98,119,0.824,42,118,160,94,28,12,72,88,510
10.0,Duop Reath,27.0,42,11.0,722,137,291,0.471,56,149,0.376,81,142,0.57,0.567,42,57,0.737,61,98,159,46,21,22,31,103,372
11.0,Kris Murray,23.0,36,3.0,514,54,137,0.394,19,67,0.284,35,70,0.5,0.464,12,22,0.545,31,53,84,29,28,7,21,35,139
12.0,Skylar Mays,26.0,21,5.0,356,53,138,0.384,14,49,0.286,39,89,0.438,0.435,13,17,0.765,9,28,37,75,14,3,18,20,133
13.0,Ibou Badji,21.0,17,1.0,199,12,19,0.632,0,0,,12,19,0.632,0.632,5,10,0.5,19,29,48,13,2,20,14,40,29
14.0,Justin Minaya,24.0,19,0.0,151,6,25,0.24,3,16,0.188,3,9,0.333,0.3,3,6,0.5,10,10,20,8,5,5,5,10,18
15.0,Rayan Rupert,19.0,16,0.0,119,15,43,0.349,7,17,0.412,8,26,0.308,0.43,5,8,0.625,7,14,21,11,3,0,6,7,42
16.0,Robert Williams,26.0,6,0.0,119,17,26,0.654,0,0,,17,26,0.654,0.654,7,9,0.778,11,27,38,5,7,7,7,17,41
17.0,Dalano Banton,24.0,5,0.0,97,18,41,0.439,4,12,0.333,14,29,0.483,0.488,13,21,0.619,5,12,17,9,3,0,7,4,53
18.0,Moses Brown,24.0,9,4.0,82,9,21,0.429,0,0,,9,21,0.429,0.429,0,4,0.0,18,28,46,2,2,3,4,11,18
19.0,Ashton Hagans,24.0,6,1.0,73,7,17,0.412,0,4,0.0,7,13,0.538,0.412,2,4,0.5,3,5,8,8,1,1,4,10,16
20.0,Jamaree Bouyea,24.0,6,0.0,57,5,21,0.238,0,8,0.0,5,13,0.385,0.238,0,0,,2,8,10,8,0,0,8,3,10
21.0,Ish Wainright,29.0,7,0.0,46,6,18,0.333,6,16,0.375,0,2,0.0,0.5,2,2,1.0,0,9,9,0,2,1,1,4,20
22.0,Taze Moore,25.0,3,0.0,10,3,5,0.6,0,2,0.0,3,3,1.0,0.6,0,0,,0,0,0,1,1,0,1,2,6
,,,56,,13590,2198,5016,0.438,648,1861,0.348,1550,3155,0.491,0.503,973,1227,0.793,681,1654,2335,1262,440,252,833,1140,6017
