Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jerami Grant,29,49,1666,,,41%,54%,5%,-10.4,-2.5,43,41,61,14,125,12,337,24,58
2,Toumani Camara,23,55,1296,,,,84%,16%,-6.7,5.2,30,14,73,10,32,24,140,7,22
3,Matisse Thybulle,26,54,1247,,30%,67%,3%,,-7.9,2.9,17,7,38,2,10,9,160,1,7
4,Deandre Ayton,25,39,1245,,,,,100%,-8.9,0.9,19,28,59,11,25,2,164,3,28
5,Scoot Henderson,19,43,1160,100%,,,,,-11.5,-3.6,73,29,61,12,67,15,508,11,36
6,Jabari Walker,21,52,1140,,3%,48%,42%,7%,-10.9,-2.5,12,16,56,13,53,5,101,14,38
7,Malcolm Brogdon,31,39,1121,61%,39%,,,,-3.6,9.9,34,17,32,4,50,8,517,12,29
8,Anfernee Simons,24,33,1110,25%,68%,7%,,,-13.4,-6.7,44,25,41,8,55,3,403,12,37
9,Shaedon Sharpe,20,32,1059,5%,77%,18%,,,-10.7,-2.0,39,20,28,9,52,9,232,12,33
10,Duop Reath,27,42,722,,,,1%,99%,-5.1,5.9,9,9,65,11,28,3,106,6,19
11,Kris Murray,23,36,514,,14%,51%,32%,3%,-7.0,3.0,12,4,20,2,12,3,69,4,10
12,Skylar Mays,26,21,356,90%,10%,,,,-14.9,-6.3,12,4,10,0,7,1,180,2,9
13,Ibou Badji,21,17,199,,,,,100%,-20.0,-11.4,1,7,25,4,4,0,28,0,3
14,Justin Minaya,24,19,151,2%,52%,46%,,,-3.0,6.8,2,1,6,0,1,2,18,0,1
15,Rayan Rupert,19,16,119,27%,45%,28%,,,-7.6,1.9,4,0,6,1,3,0,29,0,5
16,Robert Williams,26,6,119,,,,18%,82%,-12.2,-2.9,2,2,12,2,5,0,12,3,4
17,Dalano Banton,24,5,97,56%,44%,,,,-21.4,-12.4,3,3,2,1,11,0,20,5,1
18,Moses Brown,24,9,82,,,,,100%,-20.2,-11.1,2,1,9,0,2,0,4,0,6
19,Ashton Hagans,24,6,73,100%,,,,,-17.4,-8.1,3,1,5,0,2,0,17,0,3
20,Jamaree Bouyea,24,6,57,100%,,,,,-20.6,-11.4,4,2,1,1,0,1,21,0,2
21,Ish Wainright,29,7,46,,19%,34%,47%,,-0.8,8.8,1,0,2,0,1,0,0,0,0
22,Taze Moore,25,3,10,53%,48%,,,,24.5,34.1,1,0,1,0,0,1,2,0,0
