Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jerami Grant,29,49,49,1666,7.8,17.2,0.453,2.2,5.5,0.4,5.6,11.7,0.478,5.1,6.3,0.809,0.8,3.1,3.8,2.9,0.8,0.7,2.2,2.3,22.9
2,Toumani Camara,23,55,35,1296,3.9,9.2,0.43,1.1,3.7,0.299,2.8,5.4,0.52,1.5,2.1,0.724,2.8,4.4,7.2,1.6,1.5,0.7,1.8,3.7,10.5
3,Matisse Thybulle,26,54,19,1247,2.8,7.4,0.38,1.9,5.7,0.34,0.9,1.8,0.508,0.5,0.6,0.8,0.6,2.4,3.0,1.9,2.7,1.2,0.8,2.2,8.1
4,Deandre Ayton,25,39,39,1245,7.5,13.2,0.568,0.0,0.0,,7.5,13.2,0.568,1.2,1.5,0.824,3.4,8.5,11.9,1.9,1.2,0.9,1.9,2.5,16.2
5,Scoot Henderson,19,43,16,1160,5.9,15.7,0.375,1.6,5.2,0.31,4.3,10.5,0.408,3.8,4.6,0.818,1.2,2.8,3.9,6.3,0.7,0.3,3.9,4.0,17.2
6,Jabari Walker,21,52,14,1140,4.9,10.6,0.463,0.9,3.2,0.267,4.1,7.5,0.547,2.7,3.6,0.754,3.3,7.1,10.4,1.3,1.0,0.6,1.5,3.7,13.4
7,Malcolm Brogdon,31,39,25,1121,7.0,15.9,0.44,2.6,6.4,0.412,4.4,9.5,0.458,3.1,3.7,0.819,0.9,3.9,4.8,6.9,0.9,0.3,1.9,1.9,19.7
8,Anfernee Simons,24,33,33,1110,8.3,19.5,0.427,3.5,9.3,0.38,4.8,10.2,0.47,3.9,4.2,0.915,0.5,3.3,3.8,5.6,0.5,0.1,2.8,2.4,24.1
9,Shaedon Sharpe,20,32,25,1059,6.0,14.8,0.406,2.0,6.1,0.333,3.9,8.6,0.457,3.3,4.0,0.824,1.4,4.0,5.4,3.2,1.0,0.4,2.4,3.0,17.3
10,Duop Reath,27,42,11,722,6.8,14.5,0.471,2.8,7.4,0.376,4.0,7.1,0.57,2.1,2.8,0.737,3.0,4.9,7.9,2.3,1.0,1.1,1.5,5.1,18.5
11,Kris Murray,23,36,3,514,3.8,9.6,0.394,1.3,4.7,0.284,2.5,4.9,0.5,0.8,1.5,0.545,2.2,3.7,5.9,2.0,2.0,0.5,1.5,2.5,9.7
12,Skylar Mays,26,21,5,356,5.4,14.0,0.384,1.4,5.0,0.286,3.9,9.0,0.438,1.3,1.7,0.765,0.9,2.8,3.7,7.6,1.4,0.3,1.8,2.0,13.4
13,Ibou Badji,21,17,1,199,2.2,3.4,0.632,0.0,0.0,,2.2,3.4,0.632,0.9,1.8,0.5,3.4,5.2,8.7,2.4,0.4,3.6,2.5,7.2,5.2
14,Justin Minaya,24,19,0,151,1.4,6.0,0.24,0.7,3.8,0.188,0.7,2.1,0.333,0.7,1.4,0.5,2.4,2.4,4.8,1.9,1.2,1.2,1.2,2.4,4.3
15,Rayan Rupert,19,16,0,119,4.5,13.0,0.349,2.1,5.1,0.412,2.4,7.9,0.308,1.5,2.4,0.625,2.1,4.2,6.4,3.3,0.9,0.0,1.8,2.1,12.7
16,Robert Williams,26,6,0,119,5.1,7.9,0.654,0.0,0.0,,5.1,7.9,0.654,2.1,2.7,0.778,3.3,8.2,11.5,1.5,2.1,2.1,2.1,5.1,12.4
17,Dalano Banton,24,5,0,97,6.7,15.2,0.439,1.5,4.5,0.333,5.2,10.8,0.483,4.8,7.8,0.619,1.9,4.5,6.3,3.3,1.1,0.0,2.6,1.5,19.7
18,Moses Brown,24,9,4,82,4.0,9.2,0.429,0.0,0.0,,4.0,9.2,0.429,0.0,1.8,0.0,7.9,12.3,20.2,0.9,0.9,1.3,1.8,4.8,7.9
19,Ashton Hagans,24,6,1,73,3.5,8.4,0.412,0.0,2.0,0.0,3.5,6.4,0.538,1.0,2.0,0.5,1.5,2.5,3.9,3.9,0.5,0.5,2.0,4.9,7.9
20,Jamaree Bouyea,24,6,0,57,3.2,13.3,0.238,0.0,5.1,0.0,3.2,8.2,0.385,0.0,0.0,,1.3,5.1,6.3,5.1,0.0,0.0,5.1,1.9,6.3
21,Ish Wainright,29,7,0,46,4.7,14.1,0.333,4.7,12.5,0.375,0.0,1.6,0.0,1.6,1.6,1.0,0.0,7.0,7.0,0.0,1.6,0.8,0.8,3.1,15.7
22,Taze Moore,25,3,0,10,10.8,18.0,0.6,0.0,7.2,0.0,10.8,10.8,1.0,0.0,0.0,,0.0,0.0,0.0,3.6,3.6,0.0,3.6,7.2,21.6
