Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Jerami Grant,29,49,1666,0.453,13.0,,0.679,0.223,0.253,0.096,0.108,0.321,,0.478,0.599,0.408,0.421,0.442,0.4,,0.438,0.98,,0.028,16,,0.337,0.465,,0,0
2,Toumani Camara,23,55,1296,0.43,11.9,,0.594,0.355,0.206,0.024,0.009,0.406,,0.52,0.624,0.368,0.375,0.333,0.299,,0.539,1.0,,0.079,20,,0.44,0.271,,0,0
3,Matisse Thybulle,26,54,1247,0.38,20.0,,0.236,0.12,0.105,0.004,0.008,0.764,,0.508,0.613,0.444,0.0,0.0,0.34,,0.613,1.0,,0.027,7,,0.401,0.392,,1,0
4,Deandre Ayton,25,39,1245,0.568,8.0,,1.0,0.279,0.349,0.237,0.136,0.0,,0.568,0.724,0.528,0.417,0.613,,,0.741,,,0.114,45,,,,,0,0
5,Scoot Henderson,19,43,1160,0.375,13.5,,0.668,0.292,0.152,0.144,0.079,0.332,,0.408,0.507,0.26,0.452,0.25,0.31,,0.304,0.654,,0.028,12,,0.143,0.25,,3,0
6,Jabari Walker,21,52,1140,0.463,10.2,,0.7,0.424,0.208,0.05,0.018,0.3,,0.547,0.65,0.414,0.176,0.667,0.267,,0.589,1.0,,0.05,10,,0.485,0.265,,1,0
7,Malcolm Brogdon,31,39,1121,0.44,15.4,,0.599,0.206,0.157,0.117,0.119,0.401,,0.458,0.608,0.385,0.431,0.322,0.412,,0.257,0.756,,0.002,0,,0.121,0.5,,0,0
8,Anfernee Simons,24,33,1110,0.427,16.9,,0.523,0.163,0.169,0.095,0.096,0.477,,0.47,0.653,0.363,0.474,0.345,0.38,,0.169,0.606,,0.017,9,,0.084,0.333,,0,0
9,Shaedon Sharpe,20,32,1059,0.406,14.9,,0.585,0.235,0.168,0.099,0.083,0.415,,0.457,0.569,0.37,0.372,0.417,0.333,,0.466,0.717,,0.071,26,,0.156,0.393,,3,0
10,Duop Reath,27,42,722,0.471,14.7,,0.488,0.296,0.172,0.021,0.0,0.512,,0.57,0.663,0.38,0.833,,0.376,,0.617,0.982,,0.048,12,,0.188,0.5,,0,0
11,Kris Murray,23,36,514,0.394,13.3,,0.511,0.38,0.095,0.036,0.0,0.489,,0.5,0.577,0.231,0.4,,0.284,,0.457,1.0,,0.066,8,,0.478,0.281,,0,0
12,Skylar Mays,26,21,356,0.384,13.7,,0.645,0.203,0.246,0.152,0.043,0.355,,0.438,0.393,0.441,0.429,0.667,0.286,,0.179,0.857,,0.029,2,,0.122,0.167,,0,0
13,Ibou Badji,21,17,199,0.632,2.9,,1.0,0.684,0.211,0.105,0.0,0.0,,0.632,0.769,0.25,0.5,,,,0.417,,,0.474,7,,,,,0,0
14,Justin Minaya,24,19,151,0.24,17.2,,0.36,0.32,0.0,0.04,0.0,0.64,,0.333,0.375,,0.0,,0.188,,0.333,0.667,,0.04,1,,0.063,0.0,,0,0
15,Rayan Rupert,19,16,119,0.349,13.6,,0.605,0.209,0.233,0.163,0.0,0.395,,0.308,0.556,0.2,0.143,,0.412,,0.5,1.0,,0.0,0,,0.353,0.667,,0,0
16,Robert Williams,26,6,119,0.654,5.8,,1.0,0.5,0.269,0.038,0.192,0.0,,0.654,0.769,0.429,1.0,0.6,,,0.529,,,0.269,5,,,,,0,0
17,Dalano Banton,24,5,97,0.439,10.3,,0.707,0.488,0.146,0.024,0.049,0.293,,0.483,0.55,0.333,0.0,0.5,0.333,,0.214,1.0,,0.024,1,,0.333,0.25,,0,0
18,Moses Brown,24,9,82,0.429,3.0,,1.0,0.429,0.571,0.0,0.0,0.0,,0.429,0.444,0.417,,,,,0.667,,,0.333,5,,,,,0,0
19,Ashton Hagans,24,6,73,0.412,9.2,,0.765,0.471,0.176,0.118,0.0,0.235,,0.538,0.75,0.0,0.5,,0.0,,0.571,,,0.0,0,,0.0,,,0,0
20,Jamaree Bouyea,24,6,57,0.238,15.6,,0.619,0.238,0.333,0.0,0.048,0.381,,0.385,0.6,0.143,,1.0,0.0,,0.4,,,0.0,0,,0.0,,,1,0
21,Ish Wainright,29,7,46,0.333,23.8,,0.111,0.0,0.056,0.056,0.0,0.889,,0.0,,0.0,0.0,,0.375,,,1.0,,0.0,0,,0.313,0.6,,0,0
22,Taze Moore,25,3,10,0.6,11.1,,0.6,0.6,0.0,0.0,0.0,0.4,,1.0,1.0,,,,0.0,,0.0,,,0.2,1,,0.5,0.0,,0,0
