Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Jerami Grant,29,49,49,1666,10.6,23.5,0.453,3.0,7.5,0.4,7.6,15.9,0.478,7.0,8.6,0.809,1.1,4.2,5.3,4.0,1.1,1.0,3.0,3.2,31.2,,113,120
2,Toumani Camara,23,55,35,1296,5.4,12.5,0.43,1.5,5.1,0.299,3.9,7.4,0.52,2.1,2.9,0.724,3.8,6.1,9.9,2.1,2.0,0.9,2.5,5.1,14.4,,105,117
3,Matisse Thybulle,26,54,19,1247,3.9,10.2,0.38,2.6,7.8,0.34,1.2,2.4,0.508,0.6,0.8,0.8,0.9,3.2,4.1,2.6,3.7,1.6,1.1,3.0,11.0,,109,114
4,Deandre Ayton,25,39,39,1245,10.2,18.0,0.568,0.0,0.0,,10.2,18.0,0.568,1.7,2.0,0.824,4.7,11.6,16.3,2.6,1.6,1.2,2.6,3.5,22.1,,115,114
5,Scoot Henderson,19,43,16,1160,8.0,21.4,0.375,2.2,7.1,0.31,5.8,14.3,0.408,5.1,6.3,0.818,1.6,3.8,5.4,8.6,1.0,0.4,5.4,5.5,23.4,,97,121
6,Jabari Walker,21,52,14,1140,6.7,14.5,0.463,1.2,4.4,0.267,5.6,10.2,0.547,3.7,4.9,0.754,4.5,9.7,14.2,1.8,1.3,0.9,2.1,5.0,18.3,,113,117
7,Malcolm Brogdon,31,39,25,1121,9.6,21.7,0.44,3.6,8.7,0.412,6.0,13.0,0.458,4.2,5.1,0.819,1.2,5.3,6.5,9.4,1.2,0.4,2.6,2.5,26.9,,119,120
8,Anfernee Simons,24,33,33,1110,11.4,26.7,0.427,4.8,12.7,0.38,6.6,13.9,0.47,5.3,5.8,0.915,0.7,4.5,5.2,7.6,0.7,0.2,3.8,3.3,32.9,,112,122
9,Shaedon Sharpe,20,32,25,1059,8.2,20.1,0.406,2.8,8.4,0.333,5.4,11.8,0.457,4.5,5.5,0.824,1.9,5.5,7.4,4.4,1.3,0.6,3.3,4.1,23.7,,105,120
10,Duop Reath,27,42,11,722,9.3,19.8,0.471,3.8,10.1,0.376,5.5,9.7,0.57,2.9,3.9,0.737,4.2,6.7,10.8,3.1,1.4,1.5,2.1,7.0,25.3,,120,117
11,Kris Murray,23,36,3,514,5.2,13.1,0.394,1.8,6.4,0.284,3.3,6.7,0.5,1.1,2.1,0.545,3.0,5.1,8.0,2.8,2.7,0.7,2.0,3.3,13.3,,100,117
12,Skylar Mays,26,21,5,356,7.3,19.1,0.384,1.9,6.8,0.286,5.4,12.3,0.438,1.8,2.3,0.765,1.2,3.9,5.1,10.4,1.9,0.4,2.5,2.8,18.4,,106,119
13,Ibou Badji,21,17,1,199,3.0,4.7,0.632,0.0,0.0,,3.0,4.7,0.632,1.2,2.5,0.5,4.7,7.2,11.9,3.2,0.5,4.9,3.5,9.9,7.2,,104,115
14,Justin Minaya,24,19,0,151,2.0,8.1,0.24,1.0,5.2,0.188,1.0,2.9,0.333,1.0,2.0,0.5,3.3,3.3,6.5,2.6,1.6,1.6,1.6,3.3,5.9,,85,119
15,Rayan Rupert,19,16,0,119,6.2,17.8,0.349,2.9,7.0,0.412,3.3,10.7,0.308,2.1,3.3,0.625,2.9,5.8,8.7,4.5,1.2,0.0,2.5,2.9,17.3,,99,120
16,Robert Williams,26,6,0,119,7.0,10.7,0.654,0.0,0.0,,7.0,10.7,0.654,2.9,3.7,0.778,4.5,11.2,15.7,2.1,2.9,2.9,2.9,7.0,16.9,,123,110
17,Dalano Banton,24,5,0,97,9.1,20.8,0.439,2.0,6.1,0.333,7.1,14.7,0.483,6.6,10.6,0.619,2.5,6.1,8.6,4.6,1.5,0.0,3.5,2.0,26.9,,105,119
18,Moses Brown,24,9,4,82,5.4,12.6,0.429,0.0,0.0,,5.4,12.6,0.429,0.0,2.4,0.0,10.8,16.8,27.6,1.2,1.2,1.8,2.4,6.6,10.8,,100,111
19,Ashton Hagans,24,6,1,73,4.7,11.4,0.412,0.0,2.7,0.0,4.7,8.8,0.538,1.3,2.7,0.5,2.0,3.4,5.4,5.4,0.7,0.7,2.7,6.7,10.8,,93,122
20,Jamaree Bouyea,24,6,0,57,4.3,18.1,0.238,0.0,6.9,0.0,4.3,11.2,0.385,0.0,0.0,,1.7,6.9,8.6,6.9,0.0,0.0,6.9,2.6,8.6,,55,122
21,Ish Wainright,29,7,0,46,6.4,19.2,0.333,6.4,17.1,0.375,0.0,2.1,0.0,2.1,2.1,1.0,0.0,9.6,9.6,0.0,2.1,1.1,1.1,4.3,21.4,,105,115
22,Taze Moore,25,3,0,10,14.7,24.6,0.6,0.0,9.8,0.0,14.7,14.7,1.0,0.0,0.0,,0.0,0.0,0.0,4.9,4.9,0.0,4.9,9.8,29.5,,101,115
