No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
33,Toumani Camara,PF,6-8,220,"May 8, 2000",be,R,Dayton
4,Matisse Thybulle,SF,6-5,201,"March 4, 1997",us,4,Washington
34,Jabari Walker,SF,6-9,215,"July 30, 2002",us,1,Colorado
9,Jerami Grant,PF,6-7,210,"March 12, 1994",us,9,Syracuse
0,Scoot Henderson,PG,6-3,202,"February 3, 2004",us,R,
26,Duop Reath,C,6-11,245,"June 26, 1996",ss,R,"Lee College, LSU"
11,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us,7,Virginia
2,Deandre Ayton,C,7-0,250,"July 23, 1998",bs,5,Arizona
8,Kris Murray,SF,6-8,220,"August 19, 2000",us,R,Iowa
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",us,5,
17,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",ca,1,Kentucky
24,Justin Minaya (TW),SF,6-5,210,"March 26, 1999",us,1,
41,Ibou Badji (TW),C,7-1,240,"October 13, 2002",sn,R,
72,Rayan Rupert,SG,6-6,205,"May 31, 2004",fr,R,
10,Moses Brown,C,7-2,245,"October 13, 1999",us,4,UCLA
35,Robert Williams,C,6-9,237,"October 17, 1997",us,5,Texas A&M
5,Dalano Banton,PG,6-9,204,"November 7, 1999",ca,2,Nebraska
