Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,56.0,13590,2198,5016,0.438,648,1861,0.348,1550,3155,0.491,973,1227,0.793,681,1654,2335,1262,440,252,833,1140,6017
Team/G,,242.7,39.3,89.6,0.438,11.6,33.2,0.348,27.7,56.3,0.491,17.4,21.9,0.793,12.2,29.5,41.7,22.5,7.9,4.5,14.9,20.4,107.4
Lg Rank,,23,29,14,30.0,25,18,28.0,27,9,30.0,16,16,10.0,5,30,25,30,8,23,28,24,29
Year/Year,,0.9%,-3.0%,4.9%,-0.036,-10.1%,-5.8%,-0.017,0.4%,12.5%,-0.059,-11.5%,-11.1%,-0.003,28.8%,-5.1%,2.8%,-6.7%,16.5%,-1.9%,2.9%,1.6%,-5.3%
Opponent,56.0,13590,2415,4873,0.496,642,1851,0.347,1773,3022,0.587,1050,1323,0.794,603,1886,2489,1544,478,351,822,1032,6522
Opponent/G,,242.7,43.1,87.0,0.496,11.5,33.1,0.347,31.7,54.0,0.587,18.8,23.6,0.794,10.8,33.7,44.4,27.6,8.5,6.3,14.7,18.4,116.5
Lg Rank,,23,19,6,26.0,4,6,1.0,25,13,30.0,24,23,22.0,16,23,20,21,28,29,4,24,17
Year/Year,,0.9%,0.4%,-0.6%,0.005,-8.6%,-0.2%,-0.032,4.1%,-0.8%,0.028,-1.1%,-2.0%,0.007,3.0%,2.8%,2.9%,2.1%,9.4%,46.0%,8.6%,-10.0%,-0.8%
