DATE,TEAM,PLAYER,INJURY,GAME STATUS
2/3/24,,Peyton Watson  SG,Knee,Day-to-Day
2/3/24,,Kentavious Caldwell-Pope  SG,Finger,Day-to-Day
2/3/24,,Jamal Cain  SF,Illness,Day-to-Day
2/3/24,,Vince Williams Jr.  SG,Wrist,Day-to-Day
2/3/24,,Jaren Jackson Jr.  C,Hip,Day-to-Day
2/3/24,,John Konchar  SG,Calf,Day-to-Day
2/3/24,,Wesley Matthews  SG,Calf,Day-to-Day
2/3/24,,Jock Landale  C,Wrist,Day-to-Day
2/3/24,,Rudy Gobert  C,Ankle,Day-to-Day
2/3/24,,Andrew Wiggins  SF,Ankle,Day-to-Day
2/3/24,,Frank Ntilikina  PG,Hip,Out
2/3/24,,Bennedict Mathurin  SG,Toe,Day-to-Day
2/3/24,,Tyrese Haliburton  PG,Hamstring,Day-to-Day
2/3/24,,Bilal Coulibaly  SF,Back,Day-to-Day
2/3/24,,Kyle Kuzma  PF,Shoulder,Day-to-Day
2/3/24,,Cade Cunningham  PG,Knee,Day-to-Day
2/3/24,,Tre Mann  PG,Personal,Day-to-Day
2/3/24,,Jaylen Brown  SF,Back,Day-to-Day
2/2/24,,Xavier Tillman Sr.  PF,Knee,Out
2/2/24,,Maxi Kleber  PF,Nose,Day-to-Day
2/2/24,,Saddiq Bey  SF,Ankle,Day-to-Day
2/2/24,,Tyus Jones  PG,Ankle,Day-to-Day
2/2/24,,Dennis Smith Jr.  PG,Foot,Day-to-Day
2/2/24,,Jerami Grant  PF,Back,Day-to-Day
2/2/24,,Coby White  PG,Ankle,Day-to-Day
2/2/24,,Andre Jackson Jr.  SG,Wrist,Day-to-Day
2/2/24,,Jalen Smith  PF,Back,Day-to-Day
2/2/24,,Myles Turner  C,Ankle,Day-to-Day
2/1/24,,Jamal Murray  PG,Knee,Day-to-Day
2/1/24,,Peyton Watson  SG,Knee,Day-to-Day
2/1/24,,Larry Nance Jr.  PF,Ankle,Day-to-Day
2/1/24,,Draymond Green  PF,Knee,Day-to-Day
2/1/24,,Dario Saric  PF,Illness,Day-to-Day
2/1/24,,Bol Bol  PF,Foot,Day-to-Day
2/1/24,,De'Andre Hunter  SF,Injury Management,Out
2/1/24,,Alperen Sengun  C,Illness,Day-to-Day
2/1/24,,Marvin Bagley III  PF,Back,Day-to-Day
2/1/24,,Cade Cunningham  PG,Injury Management,Day-to-Day
2/1/24,,Evan Mobley  C,Injury Management,Day-to-Day
2/1/24,,Jarrett Allen  C,Ankle,Day-to-Day
2/1/24,,Jarred Vanderbilt  PF,Foot,Out
1/31/24,,Quentin Grimes  SG,Knee,Out
1/31/24,,Jordan Poole  SG,Illness,Day-to-Day
1/31/24,,Landry Shamet  SG,Illness,Day-to-Day
1/31/24,,Zion Williamson  PF,Foot,Day-to-Day
1/31/24,,Mike Muscala  C,Concussion,Day-to-Day
1/31/24,,Paul George  SF,Groin,Out
1/31/24,,Tyrese Haliburton  PG,Hamstring,Day-to-Day
1/31/24,,Jalen Smith  PF,Back,Day-to-Day
1/31/24,,LeBron James  SF,Ankle,Day-to-Day
1/30/24,,Luguentz Dort  SG,Ankle,Day-to-Day
1/30/24,,Chet Holmgren  PF,Ankle,Day-to-Day
1/30/24,,Ben Simmons  PG,Knee,Day-to-Day
1/30/24,,Dalen Terry  SG,Ankle,Day-to-Day
1/30/24,,T.J. McConnell  PG,Illness,Day-to-Day
1/30/24,,Al Horford  C,Neck,Out
1/30/24,,Anthony Davis  PF,Achilles,Day-to-Day
1/30/24,,Nicolas Batum  SF,Hamstring,Day-to-Day
1/30/24,,Marcus Morris Sr.  PF,Foot,Day-to-Day
1/30/24,,Nikola Jokic  C,Back,Day-to-Day
1/30/24,,Luka Doncic  PG,Ankle,Day-to-Day
1/30/24,,Dereck Lively II  C,Nose,Day-to-Day
1/30/24,,Keldon Johnson  SF,Elbow,Out
1/30/24,,Klay Thompson  SG,Illness,Day-to-Day
