Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Kyle Kuzma,28,55,1746,,,,88%,12%,-12.1,-6.0,60,39,69,21,91,9,531,29,37
2,Tyus Jones,27,57,1654,100%,,,,,-12.7,-7.0,44,7,18,2,18,12,950,5,23
3,Jordan Poole,24,55,1610,13%,82%,6%,,,-11.6,-4.1,49,39,83,10,74,10,476,17,48
4,Deni Avdija,23,55,1548,,,56%,41%,4%,-8.0,4.4,63,28,69,12,95,9,481,31,46
5,Bilal Coulibaly,19,56,1494,1%,46%,52%,1%,,-12.0,-4.5,48,19,58,4,58,1,235,18,37
6,Corey Kispert,24,55,1241,,8%,72%,20%,,-13.1,-5.8,15,23,48,8,52,2,208,21,32
7,Daniel Gafford,25,45,1192,,,,,100%,-7.6,4.1,16,13,109,13,59,14,150,10,24
8,Landry Shamet,26,40,620,35%,64%,,,,-8.9,1.3,15,8,34,1,22,7,124,10,21
9,Delon Wright,31,33,456,95%,5%,,,,-4.6,6.4,4,5,12,2,12,6,204,3,11
10,Danilo Gallinari,35,26,385,,,,13%,88%,-11.3,-1.6,3,7,20,1,17,2,76,3,4
11,Mike Muscala,32,24,338,,,,,100%,-18.6,-9.8,7,5,17,3,7,2,53,1,5
12,Marvin Bagley III,24,14,336,,,,,100%,-9.8,0.2,4,5,16,7,26,2,45,6,16
13,Johnny Davis,21,26,234,8%,70%,22%,,,-7.6,2.5,1,4,11,2,3,1,22,1,6
14,Eugene Omoruyi,26,26,196,,,13%,72%,16%,-13.0,-3.3,7,4,20,3,17,4,47,4,8
15,Anthony Gill,31,31,173,,,4%,22%,74%,18.6,30.5,8,5,7,2,6,0,33,0,3
16,Jared Butler,23,20,152,86%,14%,,,,-6.6,3.5,5,3,10,2,8,1,78,5,2
17,Patrick Baldwin Jr.,21,20,152,,,6%,47%,47%,13.5,24.8,2,2,13,2,7,0,20,2,3
18,Ryan Rollins,21,10,66,100%,,,,,38.1,49.3,3,4,3,0,9,3,25,3,2
19,Richaun Holmes,30,4,42,,,,,100%,-27.2,-17.5,0,2,0,0,2,2,3,1,2
20,Jules Bernard,24,6,28,,87%,13%,,,11.0,21.2,2,0,1,0,0,2,13,0,1
21,Justin Champagnie,22,2,10,,44%,56%,,,8.6,18.6,1,0,0,0,0,0,0,0,0
22,Hamidou Diallo,25,2,5,,100%,,,,34.4,44.4,1,0,1,0,0,0,2,0,0
23,Trey Jemison,24,2,1,,,,,100%,100.0,110.0,1,0,0,0,0,0,0,0,0
