No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
5.0,Tyus Jones,PG,6-1,196,"May 10, 1996",us,8,Duke
0.0,Bilal Coulibaly,SF,6-6,195,"July 26, 2004",fr,R,
33.0,Kyle Kuzma,PF,6-9,221,"July 24, 1995",us,6,Utah
13.0,Jordan Poole,SG,6-4,194,"June 19, 1999",us,4,Michigan
8.0,Deni Avdija,SF,6-9,210,"January 3, 2001",il,3,
24.0,Corey Kispert,SF,6-7,220,"March 3, 1999",us,2,Gonzaga
20.0,Landry Shamet,SG,6-4,190,"March 13, 1997",us,5,Wichita State
16.0,Anthony Gill,PF,6-7,230,"October 17, 1992",us,3,"South Carolina, Virginia"
97.0,Eugene Omoruyi (TW),SF,6-7,244,"February 14, 1997",ng,2,"Rutgers University, Oregon"
1.0,Johnny Davis,SG,6-5,196,"February 27, 2002",us,1,Wisconsin
4.0,Jared Butler (TW),SG,6-3,195,"August 25, 2000",us,2,Baylor
7.0,Patrick Baldwin Jr.,SF,6-9,220,"November 18, 2002",us,1,UW-Milwaukee
35.0,Marvin Bagley III,C,6-10,235,"March 14, 1999",us,5,Duke
14.0,Jules Bernard (TW),SG,6-7,210,"January 21, 2000",us,R,UCLA
22.0,Richaun Holmes,PF,6-10,235,"October 15, 1993",us,8,Bowling Green
9.0,Justin Champagnie,SF,6-6,200,"June 29, 2001",us,2,Pitt
,Isaiah Livers,PF,6-7,230,"July 28, 1998",us,2,Michigan
