Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Kyle Kuzma,28,55,1746,15.5,0.541,0.362,0.167,3.3,18.6,10.7,20.6,0.7,1.7,11.5,30.2,,-1.0,0.8,-0.2,-0.005,,0.4,-1.9,-1.5,0.2
2,Tyus Jones,27,57,1654,16.6,0.583,0.365,0.061,1.1,9.1,5.0,33.4,1.8,0.8,8.2,16.6,,3.2,0.6,3.8,0.11,,1.5,-0.7,0.8,1.2
3,Jordan Poole,24,55,1610,10.5,0.513,0.461,0.211,1.3,7.9,4.5,17.7,1.8,0.9,12.2,25.4,,-1.6,0.5,-1.1,-0.032,,-3.6,-1.9,-5.5,-1.4
4,Deni Avdija,23,55,1548,14.8,0.605,0.289,0.328,3.7,21.3,12.3,18.5,1.3,1.3,15.2,19.7,,1.2,1.0,2.2,0.068,,-0.7,-0.1,-0.8,0.5
5,Bilal Coulibaly,19,56,1494,8.7,0.546,0.413,0.295,3.4,12.8,8.0,8.2,1.5,2.3,16.0,14.0,,-0.6,0.7,0.2,0.006,,-3.8,-0.5,-4.4,-0.9
6,Corey Kispert,24,55,1241,12.8,0.616,0.617,0.198,1.4,10.4,5.8,10.2,0.9,0.5,10.0,20.3,,0.9,0.2,1.1,0.041,,-0.2,-2.1,-2.3,-0.1
7,Daniel Gafford,25,45,1192,19.7,0.707,0.0,0.405,11.4,21.1,16.1,7.9,1.7,6.6,11.7,13.8,,3.0,1.3,4.3,0.173,,-0.4,1.1,0.7,0.8
8,Landry Shamet,26,40,620,11.5,0.561,0.557,0.176,2.7,7.4,5.0,11.1,1.8,1.2,9.0,19.5,,0.2,0.2,0.4,0.029,,-2.1,-1.2,-3.3,-0.2
9,Delon Wright,31,33,456,14.0,0.497,0.311,0.238,2.9,11.0,6.9,22.7,3.6,1.4,7.5,13.4,,0.4,0.4,0.8,0.087,,-1.9,2.3,0.3,0.3
10,Danilo Gallinari,35,26,385,13.3,0.581,0.489,0.427,3.2,18.2,10.5,10.7,0.7,0.6,7.2,18.2,,0.5,0.1,0.6,0.075,,-0.9,-1.8,-2.8,-0.1
11,Mike Muscala,32,24,338,7.6,0.481,0.567,0.222,6.7,17.1,11.8,8.1,0.7,1.7,13.9,14.2,,-0.2,0.1,-0.1,-0.008,,-4.6,-1.8,-6.3,-0.4
12,Marvin Bagley III,24,14,336,19.7,0.572,0.065,0.377,18.8,19.5,19.1,8.8,1.4,2.4,11.1,22.5,,0.5,0.2,0.7,0.106,,0.5,-1.8,-1.3,0.1
13,Johnny Davis,21,26,234,4.4,0.385,0.162,0.122,4.9,10.3,7.5,4.9,1.8,0.7,8.2,15.2,,-0.5,0.1,-0.4,-0.074,,-7.4,-2.2,-9.6,-0.5
14,Eugene Omoruyi,26,26,196,20.4,0.568,0.263,0.337,11.6,18.4,14.9,17.0,4.5,0.4,11.4,26.3,,0.2,0.3,0.5,0.115,,-0.1,1.2,1.0,0.2
15,Anthony Gill,31,31,173,11.7,0.544,0.26,0.4,8.4,15.8,12.0,10.6,1.9,2.8,20.3,17.8,,-0.1,0.1,0.0,0.01,,-3.3,-1.1,-4.5,-0.1
16,Jared Butler,23,20,152,18.1,0.66,0.474,0.263,0.0,8.6,4.2,32.2,2.4,1.1,14.7,20.5,,0.3,0.1,0.4,0.129,,1.2,0.0,1.2,0.1
17,Patrick Baldwin Jr.,21,20,152,9.2,0.526,0.574,0.255,4.8,25.9,15.0,6.7,0.6,2.1,10.3,16.0,,0.0,0.1,0.1,0.024,,-4.0,-1.3,-5.3,-0.1
18,Ryan Rollins,21,10,66,22.5,0.631,0.12,0.68,3.1,14.9,8.9,23.7,5.6,3.7,17.7,25.0,,0.1,0.1,0.2,0.14,,0.4,4.5,4.9,0.1
19,Richaun Holmes,30,4,42,16.2,0.664,0.0,0.188,4.9,23.4,13.9,3.6,1.1,1.9,10.4,19.2,,0.1,0.0,0.1,0.095,,-1.8,0.9,-0.9,0.0
20,Jules Bernard,24,6,28,3.6,0.292,0.667,0.0,7.4,11.7,9.5,22.6,1.7,2.9,14.3,20.9,,-0.1,0.0,-0.1,-0.152,,-7.2,-1.2,-8.4,0.0
21,Justin Champagnie,22,2,10,30.7,0.786,0.429,0.0,0.0,0.0,0.0,0.0,4.6,0.0,12.5,33.5,,0.0,0.0,0.0,0.096,,9.0,2.9,12.0,0.0
22,Hamidou Diallo,25,2,5,32.9,0.5,0.0,0.0,41.4,0.0,21.3,28.6,18.6,0.0,33.3,25.1,,0.0,0.0,0.0,0.195,,2.5,16.0,18.4,0.0
23,Trey Jemison,24,2,1,-35.7,,,,0.0,100.0,53.1,0.0,0.0,0.0,100.0,41.8,,0.0,0.0,0.0,-1.192,,-30.4,-3.6,-34.0,0.0
