Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kyle Kuzma,28,55,55,31.7,8.6,18.9,0.456,2.3,6.8,0.332,6.3,12.1,0.526,0.516,2.5,3.2,0.776,1.0,5.4,6.4,4.1,0.5,0.7,2.6,2.2,22.0
2,Jordan Poole,24,55,52,29.3,5.7,14.3,0.399,2.0,6.6,0.309,3.7,7.7,0.476,0.47,2.6,3.0,0.861,0.4,2.1,2.5,3.7,1.1,0.3,2.2,3.3,16.1
3,Tyus Jones,27,57,57,29.0,5.1,10.3,0.497,1.6,3.8,0.43,3.5,6.5,0.535,0.575,0.5,0.6,0.778,0.3,2.4,2.7,7.0,1.1,0.3,0.9,0.8,12.3
4,Deni Avdija,23,55,55,28.1,5.0,9.8,0.513,1.1,2.8,0.404,3.9,7.0,0.557,0.571,2.4,3.2,0.74,1.0,5.5,6.5,3.7,0.8,0.4,2.0,2.5,13.6
5,Bilal Coulibaly,19,56,8,26.7,2.9,6.7,0.442,1.0,2.8,0.357,2.0,3.9,0.502,0.516,1.3,2.0,0.682,0.9,3.1,4.0,1.7,0.9,0.8,1.4,2.1,8.2
6,Daniel Gafford,25,45,45,26.5,4.5,6.5,0.69,0.0,0.0,,4.5,6.5,0.69,0.69,1.9,2.6,0.706,2.9,5.1,8.0,1.5,1.0,2.2,1.0,3.3,10.9
7,Marvin Bagley III,24,14,8,24.0,5.3,9.9,0.536,0.1,0.6,0.222,5.1,9.2,0.558,0.543,2.4,3.7,0.654,4.4,4.3,8.6,1.4,0.7,0.7,1.4,2.1,13.1
8,Corey Kispert,24,55,1,22.6,4.3,9.1,0.479,2.1,5.6,0.367,2.3,3.5,0.66,0.592,1.4,1.8,0.778,0.3,2.1,2.5,1.6,0.4,0.1,1.1,1.6,12.1
9,Landry Shamet,26,40,2,15.5,2.7,6.1,0.434,1.2,3.4,0.353,1.5,2.7,0.537,0.533,0.9,1.1,0.814,0.4,1.1,1.5,1.3,0.6,0.2,0.7,1.7,7.4
10,Danilo Gallinari,35,26,0,14.8,2.2,5.0,0.435,0.8,2.5,0.313,1.4,2.6,0.552,0.511,1.8,2.2,0.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0
11,Mike Muscala,32,24,2,14.1,1.4,3.8,0.367,0.6,2.1,0.275,0.8,1.6,0.487,0.444,0.6,0.8,0.75,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4.0
12,Delon Wright,31,33,0,13.8,1.5,3.7,0.393,0.4,1.2,0.368,1.0,2.5,0.405,0.451,0.7,0.9,0.828,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.1
13,Richaun Holmes,30,4,0,10.5,2.5,4.0,0.625,0.0,0.0,,2.5,4.0,0.625,0.625,0.8,0.8,1.0,0.5,2.3,2.8,0.3,0.3,0.3,0.5,1.5,5.8
14,Johnny Davis,21,26,0,9.0,1.0,2.8,0.365,0.1,0.5,0.167,1.0,2.4,0.403,0.378,0.2,0.3,0.444,0.4,0.8,1.3,0.3,0.3,0.1,0.3,0.9,2.3
15,Jared Butler,23,20,0,7.6,1.6,2.9,0.544,0.5,1.4,0.37,1.1,1.5,0.7,0.632,0.6,0.8,0.8,0.0,0.6,0.6,1.7,0.4,0.1,0.6,0.9,4.2
16,Patrick Baldwin Jr.,21,20,0,7.6,0.9,2.4,0.383,0.6,1.4,0.407,0.4,1.0,0.35,0.5,0.4,0.6,0.667,0.4,1.8,2.2,0.4,0.1,0.2,0.3,1.1,2.8
17,Eugene Omoruyi,26,26,0,7.5,1.8,3.7,0.495,0.2,1.0,0.24,1.6,2.7,0.586,0.526,0.9,1.2,0.75,0.8,1.3,2.1,0.8,0.7,0.0,0.5,1.4,4.8
18,Ryan Rollins,21,10,0,6.6,1.3,2.5,0.52,0.2,0.3,0.667,1.1,2.2,0.5,0.56,1.3,1.7,0.765,0.2,0.9,1.1,1.1,0.8,0.3,0.7,0.7,4.1
19,Anthony Gill,31,31,0,5.6,0.7,1.6,0.46,0.1,0.4,0.231,0.6,1.2,0.541,0.49,0.5,0.6,0.75,0.5,0.8,1.3,0.5,0.2,0.2,0.5,0.4,2.1
20,Justin Champagnie,22,2,0,5.0,2.5,3.5,0.714,0.5,1.5,0.333,2.0,2.0,1.0,0.786,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,5.5
21,Jules Bernard,24,6,0,4.7,0.5,2.0,0.25,0.2,1.3,0.125,0.3,0.7,0.5,0.292,0.0,0.0,,0.3,0.5,0.8,0.8,0.2,0.2,0.3,0.7,1.2
22,Hamidou Diallo,25,2,0,2.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0
23,Trey Jemison,24,2,0,0.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
