Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Tyrese Maxey,23,52,1941,72%,28%,,,,5.0,4.8,46,25,49,7,137,7,787,46,71
2,Tobias Harris,31,51,1722,,,33%,64%,4%,5.8,6.0,26,24,52,11,88,3,410,21,60
3,Kelly Oubre Jr.,28,45,1309,,27%,51%,20%,2%,-0.7,-8.3,16,11,55,11,66,13,120,16,42
4,Joel Embiid,29,34,1157,,,,,100%,9.4,10.1,48,47,56,24,174,1,485,33,48
5,Paul Reed,24,57,1035,,,,3%,97%,1.4,-3.6,10,15,79,8,29,4,158,13,18
6,De'Anthony Melton,25,35,993,5%,90%,5%,,,9.7,9.6,21,8,33,3,30,2,250,7,20
7,Patrick Beverley,35,47,919,100%,,,,,0.3,-5.0,32,8,41,1,23,10,340,7,8
8,Nicolas Batum,35,34,828,,,,92%,8%,7.4,5.4,16,3,29,1,6,2,162,1,0
9,Marcus Morris,34,37,637,,,46%,49%,5%,-1.8,-7.0,8,2,35,5,15,0,58,4,6
10,Danuel House Jr.,30,34,509,,39%,48%,12%,1%,1.8,-2.3,11,3,30,1,26,3,65,8,7
11,KJ Martin,23,40,453,1%,20%,57%,20%,3%,-0.5,-5.0,5,5,23,5,14,2,71,5,17
12,Robert Covington,33,26,419,,8%,71%,21%,,8.3,5.4,2,4,19,3,11,1,38,2,7
13,Jaden Springer,21,32,377,28%,57%,15%,,,-6.2,-11.4,10,6,25,5,16,6,83,2,14
14,Mo Bamba,25,35,370,,,,,100%,-0.2,-4.5,5,4,26,12,14,1,63,4,11
15,Furkan Korkmaz,26,35,300,13%,48%,30%,8%,,6.0,2.7,5,3,13,1,10,2,57,6,2
16,Buddy Hield,31,7,248,,82%,18%,,,-2.5,-6.8,13,3,11,0,0,0,93,0,5
17,Ricky Council IV,22,17,156,,27%,65%,8%,,-2.9,-7.0,0,0,5,1,24,0,14,6,3
18,Cameron Payne,29,7,140,89%,11%,,,,2.8,-0.9,4,0,2,0,5,3,51,2,2
19,Terquavion Smith,21,12,69,98%,2%,,,,1.0,-2.7,3,1,2,0,1,0,22,1,3
20,P.J. Tucker,38,3,66,,,88%,12%,,22.9,19.7,1,0,7,0,0,1,0,0,0
21,Kyle Lowry,37,2,46,100%,,,,,-4.4,-8.2,1,1,4,1,0,1,21,0,0
22,Danny Green,36,2,18,,50%,50%,,,-3.0,-6.7,0,0,1,0,0,0,2,0,0
23,Kenneth Lofton Jr.,21,2,9,,,,41%,59%,-74.0,-78.0,0,2,0,0,0,0,0,0,1
24,Darius Bazley,23,2,6,,,,76%,24%,-5.6,-9.2,1,0,0,0,0,0,3,0,1
25,Filip Petrušev,23,1,3,,,,57%,43%,50.0,46.4,0,0,0,0,0,0,0,0,0
26,Javonte Smart,24,1,1,100%,,,,,-300.0,-303.7,0,0,0,0,0,0,0,0,0
