Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Tyrese Maxey,23.0,52,52.0,1941,466,1040,0.448,158,418,0.378,308,622,0.495,0.524,252,292,0.863,28,167,195,332,52,25,89,115,1342
2.0,Tobias Harris,31.0,51,51.0,1722,336,673,0.499,58,170,0.341,278,503,0.553,0.542,151,168,0.899,54,256,310,168,53,29,71,86,881
3.0,Kelly Oubre Jr.,28.0,45,32.0,1309,235,515,0.456,63,202,0.312,172,313,0.55,0.517,93,127,0.732,57,148,205,49,54,24,46,133,626
4.0,Joel Embiid,29.0,34,34.0,1157,402,754,0.533,41,112,0.366,361,642,0.562,0.56,356,403,0.883,89,295,384,193,39,60,126,98,1201
5.0,Paul Reed,24.0,57,21.0,1035,167,307,0.544,12,35,0.343,155,272,0.57,0.564,33,45,0.733,125,192,317,68,39,48,40,138,379
6.0,De'Anthony Melton,25.0,35,33.0,993,136,346,0.393,75,205,0.366,61,141,0.433,0.501,66,79,0.835,27,109,136,109,56,15,39,81,413
7.0,Patrick Beverley,35.0,47,5.0,919,104,241,0.432,35,109,0.321,69,132,0.523,0.504,51,63,0.81,30,115,145,144,24,18,49,83,294
8.0,Nicolas Batum,35.0,34,29.0,828,69,132,0.523,44,95,0.463,25,37,0.676,0.689,9,14,0.643,42,86,128,74,21,21,21,68,191
9.0,Marcus Morris,34.0,37,7.0,637,90,205,0.439,36,90,0.4,54,115,0.47,0.527,31,36,0.861,18,91,109,26,13,11,19,61,247
10.0,Danuel House Jr.,30.0,34,4.0,509,47,105,0.448,15,50,0.3,32,55,0.582,0.519,35,46,0.761,16,42,58,28,15,5,19,45,144
11.0,KJ Martin,23.0,40,2.0,453,61,108,0.565,4,15,0.267,57,93,0.613,0.583,13,27,0.481,17,57,74,30,14,5,19,59,139
12.0,Robert Covington,33.0,26,3.0,419,40,89,0.449,17,48,0.354,23,41,0.561,0.545,21,24,0.875,29,60,89,17,33,16,11,49,118
13.0,Jaden Springer,21.0,32,1.0,377,46,118,0.39,8,37,0.216,38,81,0.469,0.424,28,34,0.824,25,33,58,35,25,11,26,49,128
14.0,Mo Bamba,25.0,35,0.0,370,52,110,0.473,12,29,0.414,40,81,0.494,0.527,17,29,0.586,46,81,127,25,12,34,24,51,133
15.0,Furkan Korkmaz,26.0,35,0.0,300,30,76,0.395,14,40,0.35,16,36,0.444,0.487,14,20,0.7,4,26,30,25,14,3,10,17,88
16.0,Buddy Hield,31.0,7,7.0,248,48,102,0.471,28,64,0.438,20,38,0.526,0.608,3,4,0.75,4,21,25,41,8,1,17,23,127
17.0,Ricky Council IV,22.0,17,0.0,156,30,63,0.476,4,16,0.25,26,47,0.553,0.508,36,48,0.75,11,22,33,6,2,0,2,8,100
18.0,Cameron Payne,29.0,7,1.0,140,25,62,0.403,10,30,0.333,15,32,0.469,0.484,9,10,0.9,4,7,11,21,3,1,5,7,69
19.0,Terquavion Smith,21.0,12,0.0,69,16,40,0.4,12,31,0.387,4,9,0.444,0.55,2,3,0.667,0,2,2,10,7,0,4,4,46
20.0,P.J. Tucker,38.0,3,3.0,66,2,5,0.4,2,5,0.4,0,0,,0.6,0,0,,1,13,14,0,3,2,2,9,6
21.0,Kyle Lowry,37.0,2,0.0,46,6,9,0.667,2,4,0.5,4,5,0.8,0.778,0,0,,2,4,6,8,2,0,4,5,14
22.0,Danny Green,36.0,2,0.0,18,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,2,2,1,1,0,0,1,0
23.0,Kenneth Lofton Jr.,21.0,2,0.0,9,1,6,0.167,0,2,0.0,1,4,0.25,0.167,0,0,,0,3,3,0,0,0,2,0,2
24.0,Darius Bazley,23.0,2,0.0,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,1,0,0,1,0,0
25.0,Filip Petrušev,23.0,1,0.0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
26.0,Javonte Smart,24.0,1,0.0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
,,,57,,13730,2409,5109,0.472,650,1808,0.36,1759,3301,0.533,0.535,1220,1472,0.829,629,1833,2462,1411,490,329,683,1190,6688
