Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Tyrese Maxey,23,52,1941,19.8,0.574,0.402,0.281,1.6,9.6,5.5,26.8,1.3,1.2,7.1,27.6,,4.4,1.5,5.9,0.147,,4.1,-1.1,3.0,2.4
2,Tobias Harris,31,51,1722,16.7,0.59,0.253,0.25,3.4,16.5,9.9,14.3,1.5,1.5,8.7,20.3,,2.6,1.8,4.5,0.125,,1.1,-0.2,0.9,1.3
3,Kelly Oubre Jr.,28,45,1309,12.9,0.548,0.392,0.247,4.8,12.6,8.6,5.4,2.0,1.6,7.5,20.1,,0.6,1.4,2.1,0.076,,-1.7,-0.7,-2.4,-0.1
4,Joel Embiid,29,34,1157,34.3,0.645,0.149,0.534,8.4,28.3,18.3,31.5,1.6,4.6,11.9,39.0,,4.8,2.0,6.8,0.281,,8.8,3.1,11.9,4.1
5,Paul Reed,24,57,1035,16.5,0.58,0.114,0.147,13.2,20.6,16.9,9.2,1.8,4.2,10.9,15.1,,1.6,1.5,3.2,0.147,,-0.9,0.4,-0.5,0.4
6,De'Anthony Melton,25,35,993,13.4,0.542,0.592,0.228,3.0,12.2,7.6,14.8,2.7,1.4,9.3,18.0,,0.8,1.2,2.0,0.098,,-0.5,1.1,0.5,0.6
7,Patrick Beverley,35,47,919,11.5,0.547,0.452,0.261,3.6,13.9,8.7,20.5,1.3,1.8,15.4,14.7,,0.7,0.9,1.6,0.082,,-1.5,0.0,-1.5,0.1
8,Nicolas Batum,35,34,828,11.3,0.691,0.72,0.106,5.6,11.5,8.5,11.3,1.2,2.3,13.2,8.2,,1.4,0.8,2.1,0.124,,-0.2,0.5,0.3,0.5
9,Marcus Morris,34,37,637,10.4,0.559,0.439,0.176,3.1,15.9,9.4,5.5,1.0,1.5,7.9,16.1,,0.3,0.6,0.9,0.07,,-2.3,-1.2,-3.4,-0.2
10,Danuel House Jr.,30,34,509,8.4,0.575,0.476,0.438,3.4,9.2,6.3,7.0,1.4,0.9,13.2,12.1,,0.3,0.4,0.7,0.063,,-3.4,-0.6,-4.0,-0.3
11,KJ Martin,23,40,453,9.6,0.58,0.139,0.25,4.1,14.0,9.0,8.9,1.5,1.0,13.7,13.1,,0.2,0.4,0.6,0.066,,-4.0,-0.1,-4.1,-0.2
12,Robert Covington,33,26,419,13.9,0.593,0.539,0.27,7.6,15.9,11.7,5.2,3.8,3.4,9.9,11.3,,0.5,0.8,1.3,0.144,,-0.8,3.0,2.1,0.4
13,Jaden Springer,21,32,377,10.5,0.481,0.314,0.288,7.3,9.7,8.5,12.3,3.2,2.6,16.4,18.0,,-0.2,0.5,0.3,0.035,,-4.5,1.0,-3.4,-0.1
14,Mo Bamba,25,35,370,15.9,0.542,0.264,0.264,13.6,24.3,18.9,9.2,1.6,8.2,16.4,16.9,,0.2,0.7,0.9,0.11,,-2.4,1.1,-1.4,0.1
15,Furkan Korkmaz,26,35,300,9.1,0.519,0.526,0.263,1.5,9.6,5.5,10.7,2.3,0.9,10.5,13.5,,0.0,0.3,0.3,0.054,,-3.2,0.4,-2.7,-0.1
16,Buddy Hield,31,7,248,14.6,0.612,0.627,0.039,1.8,9.4,5.6,24.2,1.6,0.4,14.1,20.8,,0.3,0.2,0.5,0.1,,2.0,-0.4,1.6,0.2
17,Ricky Council IV,22,17,156,19.4,0.594,0.254,0.762,7.7,15.7,11.7,5.6,0.6,0.0,2.3,23.5,,0.5,0.1,0.6,0.178,,2.2,-2.1,0.1,0.1
18,Cameron Payne,29,7,140,13.4,0.52,0.484,0.161,3.1,5.6,4.3,21.5,1.0,0.6,7.0,21.7,,0.1,0.1,0.2,0.075,,0.6,-1.6,-0.9,0.0
19,Terquavion Smith,21,12,69,18.0,0.557,0.775,0.075,0.0,3.2,1.6,22.5,4.9,0.0,8.8,28.0,,0.0,0.1,0.1,0.101,,3.4,0.9,4.2,0.1
20,P.J. Tucker,38,3,66,4.6,0.6,1.0,0.0,1.7,21.9,11.7,0.0,2.2,2.7,28.6,4.5,,0.0,0.1,0.1,0.051,,-5.2,1.1,-4.1,0.0
21,Kyle Lowry,37,2,46,12.8,0.778,0.444,0.0,4.8,9.7,7.2,23.3,2.1,0.0,30.8,12.1,,0.1,0.0,0.1,0.112,,-1.6,1.0,-0.6,0.0
22,Danny Green,36,2,18,0.7,0.0,0.5,0.0,0.0,12.3,6.1,6.3,2.7,0.0,0.0,4.7,,0.0,0.0,0.0,-0.037,,-7.4,0.7,-6.7,0.0
23,Kenneth Lofton Jr.,21,2,9,-19.7,0.167,0.333,0.0,0.0,37.0,18.4,0.0,0.0,0.0,25.0,37.9,,-0.1,0.0,-0.1,-0.698,,-23.3,-9.3,-32.6,-0.1
24,Darius Bazley,23,2,6,-9.6,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,50.0,14.2,,0.0,0.0,0.0,-0.333,,-13.5,-4.2,-17.7,0.0
25,Filip Petrušev,23,1,3,4.0,,,,0.0,37.0,18.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.058,,-3.0,-2.1,-5.1,0.0
26,Javonte Smart,24,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.003,,-6.1,-2.2,-8.3,0.0
