Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Giannis Antetokounmpo,29,56,1965,29.6,0.653,0.093,0.596,8.1,26.4,17.5,31.4,1.8,2.5,13.0,32.9,,7.1,2.8,10.0,0.243,,6.4,2.2,8.7,5.3
2,Damian Lillard,33,53,1856,19.8,0.592,0.486,0.427,1.8,11.3,6.7,27.8,1.5,0.5,11.1,28.4,,4.3,1.4,5.7,0.146,,3.3,-1.3,2.0,1.9
3,Brook Lopez,35,55,1734,15.1,0.598,0.517,0.166,5.5,13.4,9.6,6.9,0.9,7.2,8.1,16.1,,2.1,2.1,4.2,0.117,,0.1,1.0,1.1,1.4
4,Malik Beasley,27,56,1658,11.4,0.642,0.741,0.051,2.4,11.5,7.1,6.0,1.3,0.3,7.2,14.0,,2.0,1.2,3.2,0.092,,-0.1,-0.7,-0.8,0.5
5,Bobby Portis,28,58,1383,16.1,0.575,0.29,0.151,7.7,23.2,15.7,6.7,1.4,1.4,8.0,21.6,,1.3,1.6,3.0,0.103,,-0.7,-1.1,-1.8,0.1
6,Khris Middleton,32,43,1129,16.8,0.59,0.388,0.191,2.6,14.8,8.9,27.4,1.6,0.9,14.2,23.7,,1.4,1.1,2.5,0.106,,1.0,-0.2,0.8,0.8
7,Pat Connaughton,31,52,1108,9.7,0.611,0.7,0.136,3.6,13.3,8.6,10.9,1.1,1.0,12.8,10.0,,1.1,0.8,2.0,0.086,,-1.1,0.1,-1.0,0.3
8,Cameron Payne,29,47,702,12.5,0.603,0.59,0.198,0.8,8.6,4.8,20.2,1.5,0.4,11.4,16.5,,1.0,0.5,1.5,0.104,,-1.0,-0.4,-1.4,0.1
9,Jae Crowder,33,27,678,8.4,0.548,0.653,0.16,2.0,13.3,7.8,7.7,1.5,0.7,8.5,11.0,,0.3,0.6,0.9,0.061,,-2.5,0.2,-2.3,0.0
10,MarJon Beauchamp,23,41,571,8.8,0.583,0.463,0.188,4.3,13.0,8.8,6.5,1.0,0.9,14.3,14.1,,0.1,0.4,0.5,0.046,,-2.7,-1.0,-3.7,-0.2
11,Andre Jackson Jr.,22,46,498,8.9,0.626,0.46,0.126,8.1,12.1,10.2,10.5,1.3,0.7,18.6,9.7,,0.6,0.4,1.0,0.094,,-3.2,0.0,-3.2,-0.1
12,A.J. Green,24,37,339,12.2,0.633,0.877,0.066,2.0,10.0,6.1,8.2,0.4,0.5,3.1,16.3,,0.6,0.2,0.8,0.112,,1.1,-2.1,-1.0,0.1
13,Thanasis Antetokounmpo,31,24,110,5.2,0.545,0.045,0.0,5.1,3.9,4.5,13.6,1.3,3.0,31.3,12.4,,-0.1,0.1,0.0,-0.008,,-6.9,-0.4,-7.4,-0.1
14,Patrick Beverley,35,6,92,7.3,0.425,0.6,0.08,4.9,8.1,6.5,19.8,2.1,0.9,16.2,14.3,,0.0,0.1,0.0,0.017,,-4.4,0.2,-4.3,-0.1
15,Robin Lopez,35,16,65,6.5,0.453,0.421,0.105,5.2,3.3,4.2,7.7,0.7,3.8,9.1,14.4,,0.0,0.0,0.0,0.006,,-4.7,-1.4,-6.0,-0.1
16,Chris Livingston,20,15,62,8.6,0.571,0.071,0.143,3.6,20.5,12.3,8.1,1.5,0.0,16.8,12.3,,0.0,0.1,0.1,0.055,,-4.9,-0.7,-5.6,-0.1
17,TyTy Washington Jr.,22,5,21,-3.1,0.214,0.429,0.0,0.0,5.0,2.6,5.5,4.5,0.0,22.2,18.3,,-0.1,0.0,-0.1,-0.241,,-12.4,-0.7,-13.1,-0.1
18,Danilo Gallinari,35,2,14,-1.1,0.0,0.333,0.0,8.0,0.0,3.9,23.5,3.4,0.0,25.0,12.2,,-0.1,0.0,0.0,-0.144,,-9.7,0.1,-9.6,0.0
19,Lindell Wigginton,25,3,8,5.6,0.51,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,14.5,36.7,,0.0,0.0,0.0,-0.155,,-14.6,-9.2,-23.8,0.0
20,Marques Bolden,25,2,3,3.1,,,,0.0,70.6,36.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.102,,-7.7,2.3,-5.4,0.0
