Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Giannis Antetokounmpo,29,56,56,1965,15.6,25.3,0.616,0.6,2.3,0.268,14.9,22.9,0.652,9.9,15.1,0.655,3.4,11.8,15.2,8.7,1.8,1.4,4.8,4.0,41.7,,126.0,112
2,Damian Lillard,33,53,53,1856,10.0,23.6,0.423,3.9,11.5,0.342,6.1,12.1,0.499,9.3,10.1,0.924,0.7,5.1,5.8,9.3,1.5,0.3,3.5,2.4,33.3,,121.0,118
3,Brook Lopez,35,55,55,1734,7.4,15.3,0.483,2.7,7.9,0.343,4.7,7.4,0.633,2.1,2.5,0.839,2.3,6.0,8.3,2.5,0.9,4.1,1.5,3.8,19.6,,120.0,114
4,Malik Beasley,27,56,56,1658,6.7,14.2,0.473,4.8,10.5,0.452,1.9,3.7,0.531,0.5,0.7,0.64,1.0,5.2,6.2,2.2,1.3,0.2,1.1,3.3,18.6,,123.0,119
5,Bobby Portis,28,58,1,1383,10.3,20.7,0.498,2.3,6.0,0.389,8.0,14.7,0.542,2.5,3.1,0.791,3.2,10.4,13.6,2.2,1.4,0.8,1.9,4.8,25.4,,115.0,115
6,Khris Middleton,32,43,43,1129,10.2,20.9,0.487,3.1,8.1,0.378,7.1,12.8,0.556,3.3,4.0,0.832,1.1,6.6,7.7,9.1,1.6,0.5,3.7,4.4,26.7,,116.0,117
7,Pat Connaughton,31,52,2,1108,4.2,9.1,0.465,2.5,6.4,0.389,1.8,2.7,0.641,0.9,1.2,0.69,1.5,6.0,7.5,4.2,1.1,0.6,1.4,2.7,11.8,,124.0,118
8,Cameron Payne,29,47,2,702,6.8,15.0,0.455,3.5,8.9,0.397,3.3,6.2,0.538,2.5,3.0,0.841,0.3,3.9,4.2,7.4,1.5,0.2,2.1,4.9,19.7,,122.0,119
9,Jae Crowder,33,27,11,678,4.4,10.5,0.42,2.4,6.9,0.347,2.0,3.6,0.558,1.1,1.7,0.667,0.8,5.9,6.8,3.0,1.5,0.4,1.0,3.1,12.3,,113.0,117
10,MarJon Beauchamp,23,41,1,571,5.9,12.4,0.477,2.2,5.7,0.391,3.7,6.6,0.55,1.6,2.3,0.679,1.8,5.8,7.6,2.4,1.0,0.5,2.2,4.2,15.6,,109.0,119
11,Andre Jackson Jr.,22,46,8,498,4.4,8.3,0.529,1.4,3.8,0.375,3.0,4.5,0.66,0.8,1.0,0.727,3.4,5.4,8.9,4.1,1.3,0.4,2.0,7.8,11.0,,125.0,118
12,A.J. Green,24,37,0,339,7.4,17.1,0.434,6.3,15.0,0.421,1.1,2.1,0.533,1.1,1.1,1.0,0.8,4.5,5.3,2.9,0.4,0.3,0.6,4.8,22.3,,129.0,121
13,Thanasis Antetokounmpo,31,24,0,110,5.2,9.5,0.545,0.0,0.4,0.0,5.2,9.1,0.571,0.0,0.0,,2.2,1.7,3.9,5.2,1.3,1.7,4.3,8.6,10.4,,95.0,119
14,Patrick Beverley,35,6,0,92,4.1,12.9,0.32,2.6,7.7,0.333,1.5,5.2,0.3,0.5,1.0,0.5,2.1,3.6,5.7,7.7,2.1,0.5,2.6,5.2,11.3,,101.0,117
15,Robin Lopez,35,16,2,65,5.1,13.9,0.368,1.5,5.8,0.25,3.6,8.0,0.455,1.5,1.5,1.0,2.2,1.5,3.6,2.9,0.7,2.2,1.5,5.1,13.1,,100.0,120
16,Chris Livingston,20,15,0,62,5.4,10.7,0.5,0.8,0.8,1.0,4.6,9.9,0.462,1.5,1.5,1.0,1.5,9.2,10.7,3.1,1.5,0.0,2.3,5.4,13.0,,108.0,116
17,TyTy Washington Jr.,22,5,0,21,2.3,15.8,0.143,2.3,6.8,0.333,0.0,9.0,0.0,0.0,0.0,,0.0,2.3,2.3,2.3,4.5,0.0,4.5,0.0,6.8,,42.0,114
18,Danilo Gallinari,35,2,0,14,0.0,10.2,0.0,0.0,3.4,0.0,0.0,6.8,0.0,0.0,0.0,,3.4,0.0,3.4,10.2,3.4,0.0,3.4,6.8,0.0,,61.0,117
19,Lindell Wigginton,25,3,0,8,11.9,29.7,0.4,0.0,11.9,0.0,11.9,17.8,0.667,11.9,11.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,5.9,35.6,,89.0,125
20,Marques Bolden,25,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,31.6,31.6,0.0,0.0,0.0,0.0,15.8,0.0,,,106
