Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Giannis Antetokounmpo,29,56,1965,,,,59%,41%,6.6,10.5,66,50,64,38,296,7,940,81,70
2,Damian Lillard,33,53,1856,99%,1%,,,,7.4,11.9,96,27,40,7,140,10,869,26,64
3,Brook Lopez,35,55,1734,,,,,100%,6.5,8.1,15,12,86,22,47,2,217,15,13
4,Malik Beasley,27,56,1658,7%,91%,3%,,,8.2,11.8,18,14,54,1,9,4,188,3,20
5,Bobby Portis,28,58,1383,,,2%,88%,10%,-1.1,-8.8,8,22,76,15,42,3,161,11,19
6,Khris Middleton,32,43,1129,,3%,89%,8%,,7.6,7.0,47,32,48,6,40,6,492,8,15
7,Pat Connaughton,31,52,1108,3%,42%,54%,1%,,-1.2,-7.8,21,8,41,3,10,8,247,4,6
8,Cameron Payne,29,47,702,85%,15%,,,,-0.3,-4.9,17,5,33,0,20,7,257,3,8
9,Jae Crowder,33,27,678,,1%,72%,27%,,-7.4,-14.3,7,3,21,3,6,5,108,1,3
10,MarJon Beauchamp,23,41,571,,21%,70%,9%,,0.7,-3.5,11,10,27,1,14,1,67,1,14
11,Andre Jackson Jr.,22,46,498,11%,59%,29%,1%,,-4.2,-9.4,12,4,33,3,5,3,110,0,2
12,A.J. Green,24,37,339,15%,70%,15%,,,4.2,0.8,2,2,16,0,1,4,50,1,1
13,Thanasis Antetokounmpo,31,24,110,,,12%,47%,41%,-3.9,-7.7,3,3,11,1,0,1,34,0,2
14,Patrick Beverley,35,6,92,100%,,,,,-21.7,-26.0,4,0,3,0,0,0,37,0,0
15,Robin Lopez,35,16,65,,,,,100%,-17.6,-21.5,0,2,7,0,1,0,10,0,1
16,Chris Livingston,20,15,62,,20%,35%,40%,6%,1.5,-2.0,1,2,6,0,1,0,9,0,3
17,TyTy Washington Jr.,22,5,21,89%,11%,,,,-10.7,-14.3,0,2,0,0,0,0,2,0,0
18,Danilo Gallinari,35,2,14,,8%,48%,45%,,-27.4,-31.0,0,1,0,0,0,0,6,0,0
19,Lindell Wigginton,25,3,8,100%,,,,,-52.7,-56.3,1,0,1,0,1,0,0,0,0
20,Marques Bolden,25,2,3,,,,,100%,145.2,141.9,0,0,1,0,0,0,0,0,0
