Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Giannis Antetokounmpo,29,56,1965,0.616,6.9,,0.907,0.514,0.25,0.066,0.077,0.093,,0.652,0.823,0.462,0.362,0.37,0.268,,0.511,0.538,,0.192,191,,0.01,0.0,,1,0
2,Damian Lillard,33,53,1856,0.423,17.0,,0.514,0.203,0.146,0.077,0.088,0.486,,0.499,0.67,0.333,0.394,0.469,0.342,,0.219,0.545,,0.012,7,,0.067,0.267,,6,0
3,Brook Lopez,35,55,1734,0.483,16.1,,0.483,0.261,0.123,0.075,0.023,0.517,,0.633,0.781,0.435,0.452,0.615,0.343,,0.737,1.0,,0.064,35,,0.163,0.383,,0,0
4,Malik Beasley,27,56,1658,0.473,20.6,,0.259,0.073,0.105,0.044,0.036,0.741,,0.531,0.722,0.5,0.455,0.333,0.452,,0.632,0.946,,0.008,3,,0.384,0.525,,0,0
5,Bobby Portis,28,58,1383,0.498,12.8,,0.71,0.219,0.232,0.171,0.088,0.29,,0.542,0.75,0.464,0.476,0.358,0.389,,0.517,1.0,,0.02,10,,0.469,0.427,,0,0
6,Khris Middleton,32,43,1129,0.487,16.6,,0.612,0.111,0.149,0.187,0.165,0.388,,0.556,0.673,0.5,0.516,0.573,0.378,,0.361,0.74,,0.006,2,,0.202,0.385,,0,0
7,Pat Connaughton,31,52,1108,0.465,18.3,,0.3,0.192,0.103,0.0,0.005,0.7,,0.641,0.805,0.318,,1.0,0.389,,0.61,0.948,,0.014,2,,0.456,0.441,,0,0
8,Cameron Payne,29,47,702,0.455,18.7,,0.41,0.104,0.153,0.113,0.041,0.59,,0.538,0.609,0.471,0.56,0.556,0.397,,0.388,0.846,,0.0,0,,0.183,0.292,,1,0
9,Jae Crowder,33,27,678,0.42,19.7,,0.347,0.093,0.12,0.053,0.08,0.653,,0.558,0.714,0.556,0.5,0.417,0.347,,0.897,0.941,,0.0,0,,0.408,0.3,,1,0
10,MarJon Beauchamp,23,41,571,0.477,14.9,,0.537,0.282,0.121,0.047,0.087,0.463,,0.55,0.619,0.5,0.429,0.462,0.391,,0.591,0.963,,0.107,12,,0.406,0.429,,0,0
11,Andre Jackson Jr.,22,46,498,0.529,13.8,,0.54,0.276,0.138,0.103,0.023,0.46,,0.66,0.792,0.333,0.667,1.0,0.375,,0.516,1.0,,0.172,15,,0.625,0.36,,0,0
12,A.J. Green,24,37,339,0.434,24.0,,0.123,0.025,0.025,0.025,0.049,0.877,,0.533,1.0,0.333,0.333,0.5,0.421,,1.0,0.911,,0.0,0,,0.224,0.542,,0,0
13,Thanasis Antetokounmpo,31,24,110,0.545,3.9,,0.955,0.818,0.091,0.0,0.045,0.045,,0.571,0.611,0.5,,0.0,0.0,,0.75,,,0.182,3,,1.0,0.0,,0,0
14,Patrick Beverley,35,6,92,0.32,17.5,,0.4,0.16,0.08,0.12,0.04,0.6,,0.3,0.75,0.0,0.0,0.0,0.333,,0.333,1.0,,0.0,0,,0.6,0.333,,0,0
15,Robin Lopez,35,16,65,0.368,14.2,,0.579,0.0,0.579,0.0,0.0,0.421,,0.455,,0.455,,,0.25,,0.8,1.0,,0.0,0,,0.625,0.4,,0,0
16,Chris Livingston,20,15,62,0.5,4.7,,0.929,0.571,0.357,0.0,0.0,0.071,,0.462,0.5,0.4,,,1.0,,0.5,1.0,,0.0,0,,1.0,1.0,,0,0
17,TyTy Washington Jr.,22,5,21,0.143,19.3,,0.571,0.0,0.143,0.143,0.286,0.429,,0.0,,0.0,0.0,0.0,0.333,,,1.0,,0.0,0,,0.333,1.0,,0,0
18,Danilo Gallinari,35,2,14,0.0,18.3,,0.667,0.0,0.333,0.0,0.333,0.333,,0.0,,0.0,,0.0,0.0,,,,,0.0,0,,0.0,,,0,0
19,Lindell Wigginton,25,3,8,0.4,11.7,,0.6,0.4,0.2,0.0,0.0,0.4,,0.667,1.0,0.0,,,0.0,,0.0,,,0.0,0,,0.0,,,0,0
20,Marques Bolden,25,2,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
