Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,DeMar DeRozan,34,55,2072,18.6,0.574,0.169,0.434,1.7,10.7,6.1,21.5,1.5,1.6,7.2,24.7,,4.4,1.7,6.1,0.141,,1.5,-0.2,1.3,1.7
2,Coby White,23,57,2068,15.2,0.586,0.477,0.219,1.6,13.2,7.3,21.5,1.0,0.6,11.6,22.8,,2.5,1.5,4.0,0.093,,1.2,-1.0,0.2,1.1
3,Nikola Vučević,33,52,1791,17.3,0.53,0.26,0.104,8.8,26.3,17.3,15.4,1.0,2.5,8.5,23.2,,1.5,2.2,3.7,0.098,,0.4,-0.5,0.0,0.9
4,Ayo Dosunmu,24,55,1429,12.9,0.608,0.422,0.14,2.8,8.7,5.6,13.8,1.6,1.8,11.5,16.3,,1.6,1.2,2.7,0.092,,-0.9,0.0,-0.9,0.4
5,Alex Caruso,29,49,1335,14.5,0.624,0.604,0.205,3.8,11.8,7.7,14.4,2.5,4.3,14.9,15.0,,1.5,1.8,3.3,0.118,,0.2,2.2,2.5,1.5
6,Patrick Williams,22,43,1174,11.0,0.553,0.412,0.184,4.3,11.7,7.9,7.8,1.7,2.9,12.8,16.6,,0.1,1.2,1.3,0.052,,-2.3,0.0,-2.3,-0.1
7,Andre Drummond,30,57,951,23.2,0.568,0.009,0.444,21.8,36.2,28.9,4.6,3.1,3.9,12.9,21.5,,1.4,2.1,3.4,0.174,,0.6,-0.3,0.4,0.6
8,Zach LaVine,28,25,872,15.1,0.578,0.449,0.274,1.0,15.9,8.3,17.0,1.2,0.9,11.0,23.8,,0.7,0.8,1.5,0.082,,0.7,-0.6,0.1,0.5
9,Jevon Carter,28,54,742,8.2,0.484,0.651,0.018,0.9,5.7,3.2,12.3,1.9,1.7,9.5,18.7,,-0.6,0.6,0.0,0.002,,-3.5,-0.5,-4.0,-0.4
10,Torrey Craig,33,33,694,11.4,0.559,0.593,0.162,8.7,16.7,12.6,6.9,1.4,2.2,9.6,12.5,,0.7,0.7,1.4,0.099,,-1.7,0.0,-1.7,0.1
11,Dalen Terry,21,37,378,8.9,0.497,0.543,0.296,4.0,15.1,9.5,16.5,1.7,2.2,16.4,12.7,,0.0,0.4,0.4,0.056,,-4.2,1.3,-2.8,-0.1
12,Julian Phillips,20,32,218,5.0,0.511,0.48,0.22,3.0,7.9,5.4,5.5,0.2,2.8,11.3,12.5,,-0.1,0.1,0.1,0.011,,-6.1,-1.0,-7.1,-0.3
13,Terry Taylor,24,20,141,10.1,0.577,0.241,0.034,10.8,12.2,11.5,6.7,1.4,1.5,19.2,11.3,,0.1,0.1,0.2,0.066,,-3.5,0.1,-3.4,0.0
14,Adama Sanogo,21,3,11,32.6,0.926,0.0,1.0,19.9,41.6,30.5,0.0,0.0,0.0,18.8,21.2,,0.1,0.0,0.1,0.282,,9.1,1.7,10.8,0.0
15,Onuralp Bitim,24,2,6,-12.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,,0.0,0.0,0.0,-0.348,,-15.7,-8.2,-23.8,0.0
