No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0.0,Coby White,PG,6-5,195,"February 16, 2000",us,4,UNC
3.0,Andre Drummond,C,6-11,279,"August 10, 1993",us,11,UConn
11.0,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us,14,USC
12.0,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us,2,Illinois
5.0,Jevon Carter,PG,6-1,200,"September 14, 1995",us,5,West Virginia
9.0,Nikola Vučević,C,6-10,260,"October 24, 1990",ch,12,USC
6.0,Alex Caruso,SG,6-5,186,"February 28, 1994",us,6,Texas A&M
44.0,Patrick Williams,PF,6-7,215,"August 26, 2001",us,3,Florida State
25.0,Dalen Terry,SG,6-7,195,"July 12, 2002",us,1,Arizona
13.0,Torrey Craig,SF,6-7,221,"December 19, 1990",us,6,USC Upstate
15.0,Julian Phillips,SF,6-8,198,"November 5, 2003",us,R,Tennessee
8.0,Zach LaVine,SG,6-5,200,"March 10, 1995",us,9,UCLA
32.0,Terry Taylor,PF,6-5,230,"September 23, 1999",us,2,Austin Peay State University
21.0,Adama Sanogo (TW),PF,6-9,245,"February 12, 2002",ml,R,UConn
17.0,Onuralp Bitim (TW),SG,6-6,215,"March 31, 1999",tr,R,
,Henri Drell (TW),SF,6-9,187,"April 25, 2000",ee,R,
,Lonzo Ball,PG,6-6,190,"October 27, 1997",us,5,UCLA
