Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,DeMar DeRozan,34,55,2072,,3%,59%,38%,,-2.0,-2.7,49,24,65,7,179,12,724,44,48
2,Coby White,23,57,2068,85%,15%,,,,-0.2,4.4,57,41,69,9,83,42,717,20,46
3,Nikola Vučević,33,52,1791,,,,6%,94%,-2.3,-2.7,31,26,91,16,38,2,435,11,39
4,Ayo Dosunmu,24,55,1429,8%,57%,34%,1%,,-2.1,-1.6,29,20,52,5,30,6,325,6,34
5,Alex Caruso,29,49,1335,12%,84%,4%,,,1.5,5.4,51,13,56,1,25,28,322,4,14
6,Patrick Williams,22,43,1174,,,,93%,7%,-0.7,1.1,25,22,45,4,33,2,166,4,28
7,Andre Drummond,30,57,951,,,,,100%,-0.7,1.0,17,12,38,19,68,4,67,11,31
8,Zach LaVine,28,25,872,,41%,57%,2%,,-5.2,-5.7,21,19,24,6,45,2,237,11,20
9,Jevon Carter,28,54,742,100%,,,,,-0.2,1.5,15,5,22,4,2,4,153,1,5
10,Torrey Craig,33,33,694,,,24%,76%,,-6.8,-7.3,12,3,40,2,13,3,81,5,5
11,Dalen Terry,21,37,378,1%,26%,64%,9%,,4.3,6.5,12,1,28,2,10,2,113,0,4
12,Julian Phillips,20,32,218,,2%,50%,48%,,-3.1,-1.9,3,1,23,0,7,1,20,3,3
13,Terry Taylor,24,20,141,,,,63%,38%,4.9,6.5,2,2,8,2,1,0,18,1,2
14,Adama Sanogo,21,3,11,,,,,100%,76.8,78.4,0,1,0,0,2,0,0,1,0
15,Onuralp Bitim,24,2,6,,56%,39%,6%,,-18.2,-16.9,0,0,0,0,0,0,0,0,1
