Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,DeMar DeRozan,34.0,55,55.0,2072,428,910,0.47,52,154,0.338,376,756,0.497,0.499,337,395,0.853,33,193,226,290,62,33,84,119,1245
2.0,Coby White,23.0,57,57.0,2068,396,866,0.457,163,413,0.395,233,453,0.514,0.551,158,190,0.832,30,239,269,296,41,13,125,134,1113
3.0,Nikola Vučević,33.0,52,50.0,1791,392,827,0.474,59,215,0.274,333,612,0.544,0.51,74,86,0.86,144,411,555,176,37,43,80,133,917
4.0,Ayo Dosunmu,24.0,55,16.0,1429,223,443,0.503,78,187,0.417,145,256,0.566,0.591,48,62,0.774,36,108,144,138,45,25,61,114,572
5.0,Alex Caruso,29.0,49,36.0,1335,171,356,0.48,85,215,0.395,86,141,0.61,0.6,57,73,0.781,47,138,185,140,68,56,68,124,484
6.0,Patrick Williams,22.0,43,30.0,1174,159,359,0.443,59,148,0.399,100,211,0.474,0.525,52,66,0.788,46,120,166,66,40,33,57,87,429
7.0,Andre Drummond,30.0,57,9.0,951,188,340,0.553,0,3,0.0,188,337,0.558,0.553,86,151,0.57,190,301,491,29,60,36,60,98,462
8.0,Zach LaVine,28.0,25,23.0,872,170,376,0.452,59,169,0.349,111,207,0.536,0.531,88,103,0.854,8,121,129,98,21,8,52,57,487
9.0,Jevon Carter,28.0,54,0.0,742,106,284,0.373,62,185,0.335,44,99,0.444,0.482,3,5,0.6,6,37,43,65,29,12,30,56,277
10.0,Torrey Craig,33.0,33,8.0,694,71,167,0.425,37,99,0.374,34,68,0.5,0.536,21,27,0.778,55,101,156,36,20,15,19,75,200
11.0,Dalen Terry,21.0,37,1.0,378,32,81,0.395,10,44,0.227,22,37,0.595,0.457,17,24,0.708,14,50,64,48,13,8,18,51,91
12.0,Julian Phillips,20.0,32,0.0,218,22,50,0.44,6,24,0.25,16,26,0.615,0.5,6,11,0.545,6,15,21,9,1,6,7,32,56
13.0,Terry Taylor,24.0,20,0.0,141,16,29,0.552,1,7,0.143,15,22,0.682,0.569,1,1,1.0,14,15,29,7,4,2,7,13,34
14.0,Adama Sanogo,21.0,3,0.0,11,3,3,1.0,0,0,,3,3,1.0,1.0,2,3,0.667,2,4,6,0,0,0,1,0,8
15.0,Onuralp Bitim,24.0,2,0.0,6,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0
,,,57,,13880,2377,5093,0.467,671,1864,0.36,1706,3229,0.528,0.533,950,1197,0.794,631,1853,2484,1398,441,290,704,1093,6375
