Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,DeMar DeRozan,34,55,2072,0.47,13.4,,0.831,0.175,0.171,0.246,0.238,0.169,,0.497,0.686,0.474,0.491,0.382,0.338,,0.279,0.885,,0.022,16,,0.325,0.44,,0,0
2,Coby White,23,57,2068,0.457,15.9,,0.523,0.239,0.139,0.096,0.05,0.477,,0.514,0.638,0.383,0.53,0.256,0.395,,0.275,0.84,,0.009,8,,0.126,0.442,,3,0
3,Nikola Vučević,33,52,1791,0.474,12.0,,0.74,0.232,0.299,0.127,0.082,0.26,,0.544,0.641,0.526,0.476,0.441,0.274,,0.724,1.0,,0.033,23,,0.06,0.385,,0,0
4,Ayo Dosunmu,24,55,1429,0.503,13.3,,0.578,0.33,0.144,0.056,0.047,0.422,,0.566,0.658,0.438,0.44,0.476,0.417,,0.572,0.91,,0.02,9,,0.535,0.36,,1,0
5,Alex Caruso,29,49,1335,0.48,16.8,,0.396,0.228,0.124,0.022,0.022,0.604,,0.61,0.728,0.432,0.625,0.375,0.395,,0.5,0.894,,0.031,10,,0.349,0.347,,0,0
6,Patrick Williams,22,43,1174,0.443,14.6,,0.588,0.267,0.128,0.092,0.1,0.412,,0.474,0.573,0.326,0.485,0.389,0.399,,0.55,0.966,,0.109,29,,0.304,0.422,,0,0
7,Andre Drummond,30,57,951,0.553,2.8,,0.991,0.753,0.215,0.024,0.0,0.009,,0.558,0.609,0.397,0.375,,0.0,,0.548,,,0.176,49,,0.0,,,3,0
8,Zach LaVine,28,25,872,0.452,15.7,,0.551,0.237,0.136,0.053,0.125,0.449,,0.536,0.64,0.431,0.5,0.468,0.349,,0.396,0.525,,0.04,13,,0.183,0.452,,0,0
9,Jevon Carter,28,54,742,0.373,20.5,,0.349,0.035,0.088,0.148,0.077,0.651,,0.444,0.3,0.44,0.476,0.455,0.335,,0.636,0.871,,0.0,0,,0.265,0.408,,1,0
10,Torrey Craig,33,33,694,0.425,16.7,,0.407,0.222,0.126,0.018,0.042,0.593,,0.5,0.622,0.381,0.333,0.286,0.374,,0.529,0.946,,0.024,3,,0.434,0.349,,0,0
11,Dalen Terry,21,37,378,0.395,14.6,,0.457,0.321,0.123,0.012,0.0,0.543,,0.595,0.615,0.6,0.0,,0.227,,0.455,0.9,,0.099,6,,0.432,0.263,,0,0
12,Julian Phillips,20,32,218,0.44,13.5,,0.52,0.38,0.1,0.02,0.02,0.48,,0.615,0.579,0.8,1.0,0.0,0.25,,0.75,1.0,,0.1,4,,0.458,0.455,,0,0
13,Terry Taylor,24,20,141,0.552,7.5,,0.759,0.552,0.207,0.0,0.0,0.241,,0.682,0.688,0.667,,,0.143,,0.6,1.0,,0.034,0,,0.714,0.2,,0,0
14,Adama Sanogo,21,3,11,1.0,1.9,,1.0,0.667,0.333,0.0,0.0,0.0,,1.0,1.0,1.0,,,,,0.333,,,0.0,0,,,,,0,0
15,Onuralp Bitim,24,2,6,0.0,12.2,,0.5,0.5,0.0,0.0,0.0,0.5,,0.0,0.0,,,,0.0,,,,,0.0,0,,1.0,0.0,,0,0
