Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Mikal Bridges,27,56,1972,1%,25%,45%,28%,2%,-3.7,-1.6,57,49,41,3,99,14,517,24,40
2,Spencer Dinwiddie,30,48,1474,89%,11%,,,,-1.6,3.6,40,8,43,9,77,5,723,18,16
3,Cam Thomas,22,47,1402,8%,66%,25%,1%,,-7.6,-9.2,28,26,46,7,99,8,293,25,55
4,Nic Claxton,24,46,1356,,,,,100%,-7.6,-8.7,15,15,53,14,46,6,205,12,25
5,Dorian Finney-Smith,30,47,1310,,1%,39%,39%,21%,-2.3,1.9,19,7,59,6,15,1,158,2,13
6,Royce O'Neale,30,49,1202,3%,29%,50%,17%,1%,-0.9,4.3,25,14,73,9,10,7,322,0,11
7,Cameron Johnson,27,43,1199,,1%,7%,79%,13%,-4.6,-2.4,26,10,41,3,31,4,276,6,28
8,Dennis Smith Jr.,26,40,791,94%,6%,,,,-1.2,2.9,27,10,42,9,18,6,371,4,19
9,Lonnie Walker IV,25,36,649,12%,70%,18%,,,3.2,8.6,9,13,25,4,22,2,137,5,15
10,Day'Ron Sharpe,22,41,641,,,,,100%,6.2,12.4,17,11,47,14,52,1,133,16,21
11,Trendon Watford,23,39,463,,,8%,62%,31%,0.6,4.7,13,4,32,5,20,2,130,6,12
12,Ben Simmons,27,14,345,60%,40%,1%,,,-4.3,-1.2,17,4,14,4,5,3,211,1,3
13,Jalen Wilson,23,18,238,,8%,36%,44%,11%,-6.6,-3.7,0,2,11,2,5,1,50,2,4
14,Dennis Schröder,30,5,128,100%,,,,,-20.9,-18.5,6,4,5,0,3,2,48,1,7
15,Armoni Brooks,25,10,104,72%,28%,,,,11.0,14.9,3,0,1,0,1,0,10,1,4
16,Harry Giles,25,16,81,,,,43%,57%,-4.7,-1.5,2,2,12,2,8,0,14,3,1
17,Noah Clowney,19,7,69,,,8%,59%,33%,-21.1,-18.3,1,1,3,1,1,0,16,0,2
18,Keon Johnson,21,3,47,30%,70%,,,,-25.7,-22.9,2,0,2,0,2,0,8,0,1
19,Dariq Whitehead,19,2,24,,12%,88%,,,-51.8,-49.0,0,0,0,0,1,0,7,0,1
20,Keita Bates-Diop,28,3,20,,100%,,,,-17.5,-14.4,0,1,0,0,0,0,0,0,0
