Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,56.0,13515,2325,5086,0.457,764,2100,0.364,1561,2986,0.523,886,1166,0.76,653,1842,2495,1487,384,293,709,1074,6300
Team/G,,241.3,41.5,90.8,0.457,13.6,37.5,0.364,27.9,53.3,0.523,15.8,20.8,0.76,11.7,32.9,44.6,26.6,6.9,5.2,12.7,19.2,112.5
Lg Rank,,26,23,7,28.0,7,8,16.0,25,21,26.0,26,26,24.0,6,16,8,15,24,15,7,16,23
Year/Year,,0.3%,0.2%,6.7%,-0.03,6.7%,11.0%,-0.014,-2.8%,3.9%,-0.036,-10.5%,-5.7%,-0.04,41.9%,1.9%,10.0%,4.0%,-3.9%,-15.2%,-7.9%,-9.1%,-0.8%
Opponent,56.0,13515,2345,4985,0.47,758,1980,0.383,1587,3005,0.528,1018,1253,0.812,577,1937,2514,1439,371,278,690,1013,6466
Opponent/G,,241.3,41.9,89.0,0.47,13.5,35.4,0.383,28.3,53.7,0.528,18.2,22.4,0.812,10.3,34.6,44.9,25.7,6.6,5.0,12.3,18.1,115.5
Lg Rank,,26,15,15,11.0,26,17,26.0,11,10,6.0,21,16,29.0,11,26,24,8,3,16,26,29,16
Year/Year,,0.3%,2.2%,0.6%,0.007,14.7%,9.8%,0.016,-2.9%,-4.7%,0.01,-3.0%,-8.4%,0.045,-10.4%,2.8%,-0.5%,10.0%,-5.5%,28.4%,-10.3%,-2.2%,2.6%
