Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Mikal Bridges,27,56,1972,15.8,0.569,0.415,0.269,2.4,12.8,7.4,16.4,1.3,1.0,10.2,25.7,,1.6,1.3,2.9,0.071,,1.2,-1.1,0.0,1.0
2,Spencer Dinwiddie,30,48,1474,13.3,0.53,0.557,0.321,1.8,10.0,5.8,26.8,1.3,0.5,9.8,18.4,,1.9,0.8,2.7,0.086,,-0.5,-0.8,-1.3,0.3
3,Cam Thomas,22,47,1402,15.0,0.544,0.322,0.265,1.3,9.4,5.2,14.5,1.2,0.8,8.6,30.4,,0.2,0.7,1.0,0.033,,-0.4,-2.0,-2.4,-0.1
4,Nic Claxton,24,46,1356,19.2,0.625,0.01,0.29,10.2,27.4,18.5,9.6,1.1,6.7,10.9,15.7,,2.3,2.0,4.3,0.153,,0.0,1.4,1.4,1.2
5,Dorian Finney-Smith,30,47,1310,9.8,0.542,0.674,0.077,6.1,12.1,9.0,6.5,1.3,1.9,9.2,13.5,,0.6,0.9,1.5,0.056,,-1.9,-0.4,-2.3,-0.1
6,Royce O'Neale,30,49,1202,10.2,0.544,0.815,0.068,3.3,17.0,9.9,15.1,1.3,2.2,13.2,13.7,,0.5,1.1,1.6,0.062,,-1.5,0.8,-0.7,0.4
7,Cameron Johnson,27,43,1199,14.4,0.573,0.558,0.155,4.1,14.4,9.0,13.3,1.4,0.9,7.4,19.4,,1.4,0.9,2.3,0.092,,1.0,-0.6,0.4,0.7
8,Dennis Smith Jr.,26,40,791,13.4,0.5,0.28,0.165,5.3,13.3,9.1,27.3,2.9,1.1,15.4,17.9,,0.3,0.9,1.2,0.07,,-2.5,1.7,-0.8,0.2
9,Lonnie Walker IV,25,36,649,16.1,0.598,0.545,0.144,1.4,11.4,6.2,13.4,1.9,1.4,9.8,24.8,,0.5,0.5,1.0,0.074,,1.7,-0.6,1.1,0.5
10,Day'Ron Sharpe,22,41,641,21.1,0.606,0.039,0.473,18.4,28.6,23.3,13.2,1.5,4.5,15.2,19.7,,1.3,0.9,2.2,0.165,,0.0,0.5,0.5,0.4
11,Trendon Watford,23,39,463,17.4,0.624,0.204,0.246,7.2,16.9,11.9,17.9,1.6,1.7,12.3,19.5,,0.9,0.4,1.3,0.138,,0.2,0.7,0.8,0.3
12,Ben Simmons,27,14,345,15.9,0.56,0.0,0.208,8.8,27.2,17.7,32.5,1.7,2.3,25.6,13.1,,0.4,0.4,0.8,0.117,,-0.6,2.9,2.3,0.4
13,Jalen Wilson,23,18,238,15.0,0.64,0.355,0.306,8.3,10.8,9.5,12.1,1.0,0.4,5.4,13.4,,0.6,0.1,0.8,0.154,,1.1,-1.0,0.1,0.1
14,Dennis Schröder,30,5,128,1.6,0.378,0.404,0.096,0.0,12.2,5.9,21.3,0.0,0.0,15.6,21.5,,-0.4,0.0,-0.4,-0.136,,-7.4,-3.2,-10.5,-0.3
15,Armoni Brooks,25,10,104,8.1,0.448,0.696,0.043,7.0,11.8,9.3,6.7,0.5,0.9,6.0,20.6,,-0.1,0.0,-0.1,-0.025,,-2.1,-3.7,-5.8,-0.1
16,Harry Giles,25,16,81,18.2,0.543,0.25,0.295,15.5,19.3,17.3,12.6,0.6,3.3,10.8,29.5,,0.0,0.1,0.1,0.063,,-1.1,-1.7,-2.8,0.0
17,Noah Clowney,19,7,69,16.0,0.703,0.222,0.333,9.1,11.3,10.2,12.4,0.0,1.3,12.7,14.7,,0.2,0.0,0.2,0.147,,0.1,-2.1,-2.0,0.0
18,Keon Johnson,21,3,47,15.4,0.615,0.5,0.5,4.4,4.8,4.6,8.7,3.1,1.9,13.3,20.5,,0.1,0.0,0.1,0.113,,0.4,-0.3,0.2,0.0
19,Dariq Whitehead,19,2,24,4.8,0.255,0.6,0.4,0.0,18.6,9.0,15.3,0.0,3.7,0.0,10.5,,0.0,0.0,0.0,-0.035,,-5.5,-2.4,-7.8,0.0
20,Keita Bates-Diop,28,3,20,17.7,0.9,0.2,0.0,0.0,11.2,5.4,0.0,2.5,4.5,16.7,12.9,,0.0,0.0,0.0,0.115,,2.4,1.1,3.5,0.0
