Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mikal Bridges,27,56,56,1972,7.8,17.3,0.449,2.6,7.2,0.364,5.2,10.1,0.51,3.9,4.7,0.827,0.8,4.1,5.0,3.8,0.9,0.4,2.2,1.6,22.0
2,Spencer Dinwiddie,30,48,48,1474,4.8,12.2,0.391,2.2,6.8,0.32,2.6,5.4,0.48,3.1,3.9,0.781,0.6,3.2,3.9,7.0,0.9,0.2,1.5,2.1,14.8
3,Cam Thomas,22,47,32,1402,9.2,20.9,0.439,2.4,6.7,0.355,6.8,14.2,0.478,4.7,5.5,0.843,0.4,3.0,3.5,3.2,0.9,0.3,2.2,2.5,25.4
4,Nic Claxton,24,46,46,1356,6.5,10.4,0.621,0.0,0.1,0.25,6.5,10.3,0.625,1.7,3.0,0.57,3.5,8.8,12.3,2.4,0.8,2.7,1.4,3.1,14.7
5,Dorian Finney-Smith,30,47,36,1310,4.1,9.9,0.409,2.5,6.7,0.373,1.6,3.2,0.483,0.5,0.8,0.679,2.1,3.9,6.0,1.8,0.9,0.8,1.0,3.0,11.2
6,Royce O'Neale,30,49,6,1202,3.8,9.7,0.388,2.9,7.9,0.366,0.9,1.8,0.483,0.4,0.7,0.682,1.1,5.5,6.6,4.1,1.0,0.9,1.5,3.6,10.9
7,Cameron Johnson,27,43,40,1199,6.3,14.1,0.446,3.1,7.9,0.388,3.2,6.2,0.519,1.7,2.2,0.753,1.4,4.6,6.0,3.3,1.0,0.4,1.2,2.4,17.3
8,Dennis Smith Jr.,26,40,1,791,5.1,11.9,0.433,0.9,3.3,0.274,4.2,8.6,0.495,1.5,2.0,0.791,1.8,4.3,6.1,7.1,2.1,0.5,2.3,4.1,12.7
9,Lonnie Walker IV,25,36,0,649,8.2,17.7,0.464,4.2,9.7,0.431,4.0,8.0,0.503,1.9,2.6,0.761,0.5,3.7,4.2,3.1,1.4,0.6,2.1,2.4,22.5
10,Day'Ron Sharpe,22,41,1,641,6.7,11.6,0.58,0.1,0.4,0.25,6.6,11.2,0.593,3.4,5.5,0.622,6.3,9.2,15.6,3.2,1.1,1.8,2.5,5.3,17.0
11,Trendon Watford,23,39,0,463,7.1,13.0,0.545,1.0,2.6,0.382,6.1,10.3,0.586,2.8,3.2,0.878,2.5,5.4,7.9,4.3,1.2,0.7,2.0,4.8,18.0
12,Ben Simmons,27,14,12,345,4.3,7.5,0.569,0.0,0.0,,4.3,7.5,0.569,0.6,1.6,0.4,3.0,8.8,11.8,8.7,1.3,0.9,2.8,3.4,9.2
13,Jalen Wilson,23,18,1,238,4.7,9.4,0.5,1.7,3.3,0.5,3.0,6.1,0.5,2.6,2.9,0.895,2.9,3.5,6.4,3.2,0.8,0.2,0.6,2.9,13.6
14,Dennis Schröder,30,5,1,128,4.5,14.6,0.308,2.0,5.9,0.333,2.5,8.7,0.29,0.6,1.4,0.4,0.0,3.9,3.9,5.6,0.0,0.0,2.8,3.4,11.5
15,Armoni Brooks,25,10,0,104,5.2,15.9,0.326,3.8,11.1,0.344,1.4,4.8,0.286,0.3,0.7,0.5,2.4,3.8,6.2,1.7,0.3,0.3,1.0,1.0,14.5
16,Harry Giles,25,16,0,81,9.8,19.6,0.5,1.3,4.9,0.273,8.4,14.7,0.576,3.1,5.8,0.538,5.3,6.2,11.6,2.7,0.4,1.3,2.7,6.7,24.0
17,Noah Clowney,19,7,0,69,5.7,9.4,0.611,0.5,2.1,0.25,5.2,7.3,0.714,3.1,3.1,1.0,3.1,3.7,6.8,3.1,0.0,0.5,1.6,2.6,15.1
18,Keon Johnson,21,3,0,47,4.6,12.3,0.375,3.1,6.1,0.5,1.5,6.1,0.25,6.1,6.1,1.0,1.5,1.5,3.1,2.3,2.3,0.8,2.3,2.3,18.4
19,Dariq Whitehead,19,2,0,24,1.5,7.5,0.2,0.0,4.5,0.0,1.5,3.0,0.5,1.5,3.0,0.5,0.0,6.0,6.0,4.5,0.0,1.5,0.0,0.0,4.5
20,Keita Bates-Diop,28,3,0,20,7.2,9.0,0.8,1.8,1.8,1.0,5.4,7.2,0.75,0.0,0.0,,0.0,3.6,3.6,0.0,1.8,1.8,1.8,0.0,16.2
