Rk,Unnamed: 1,Salary
1,Ben Simmons,"$37,893,408"
2,Cameron Johnson,"$25,679,348"
3,Mikal Bridges,"$21,700,000"
4,Dorian Finney-Smith,"$13,932,008"
5,Dennis Schröder,"$12,405,000"
6,Nic Claxton,"$9,625,000"
7,Thaddeus Young,"$8,000,000"
8,Noah Clowney,"$3,089,520"
9,Dariq Whitehead,"$2,966,040"
10,Keita Bates-Diop,"$2,346,614"
11,Cam Thomas,"$2,240,160"
12,Day'Ron Sharpe,"$2,210,040"
13,Dennis Smith Jr.,"$2,019,706"
14,Lonnie Walker IV,"$2,019,706"
15,Trendon Watford,"$2,019,706"
16,Harry Giles,"$2,019,706"
17,Jordan Goodwin,"$1,927,896"
