Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Scottie Barnes,22,57,57,35.1,7.5,15.7,0.476,1.7,5.0,0.35,5.7,10.7,0.534,0.531,3.3,4.3,0.782,2.3,5.8,8.2,6.0,1.2,1.4,2.7,2.0,20.0
2,Pascal Siakam,29,39,39,34.7,8.3,16.0,0.522,1.2,3.7,0.317,7.2,12.3,0.584,0.559,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2
3,RJ Barrett,23,20,20,33.5,7.8,14.4,0.542,1.4,3.8,0.373,6.4,10.7,0.601,0.59,3.1,5.0,0.626,1.2,5.7,6.8,3.7,0.7,0.4,2.1,2.7,20.1
4,OG Anunoby,26,27,27,33.3,5.8,11.9,0.489,2.3,6.0,0.374,3.6,5.9,0.608,0.584,1.2,1.7,0.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1
5,Immanuel Quickley,24,22,22,32.3,5.8,14.1,0.41,2.9,6.7,0.429,2.9,7.4,0.393,0.511,2.5,3.0,0.833,0.4,3.8,4.2,5.6,0.7,0.1,1.3,1.9,16.9
6,Dennis Schröder,30,51,33,30.6,4.8,11.0,0.442,1.5,4.3,0.35,3.3,6.6,0.501,0.511,2.5,2.9,0.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7
7,Jakob Poeltl,28,46,46,26.7,4.9,7.4,0.662,0.0,0.0,,4.9,7.4,0.662,0.662,1.2,2.2,0.554,2.9,5.7,8.6,2.4,0.7,1.5,1.6,2.9,11.0
8,Gary Trent Jr.,25,52,22,26.5,4.3,10.3,0.42,2.4,5.8,0.419,1.9,4.5,0.421,0.537,0.7,1.0,0.7,0.3,2.0,2.2,1.5,0.9,0.2,0.7,1.3,11.8
9,Bruce Brown,27,16,5,26.3,3.8,8.1,0.462,0.6,2.0,0.281,3.2,6.1,0.52,0.496,1.4,1.4,1.0,0.9,3.2,4.1,2.3,0.8,0.5,0.9,2.1,9.5
10,Kelly Olynyk,32,5,0,18.2,3.4,7.0,0.486,0.4,2.0,0.2,3.0,5.0,0.6,0.514,2.0,2.0,1.0,1.2,3.2,4.4,2.4,1.4,0.6,0.8,2.8,9.2
11,Precious Achiuwa,24,25,0,17.5,3.1,6.8,0.459,0.5,1.9,0.277,2.6,4.9,0.528,0.497,1.0,1.7,0.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
12,Gradey Dick,20,36,1,15.5,2.1,4.9,0.421,1.1,2.9,0.358,1.0,2.0,0.514,0.528,0.6,0.7,0.92,0.4,1.3,1.7,1.1,0.5,0.0,0.6,1.3,5.9
13,Malachi Flynn,25,31,0,15.3,1.8,4.4,0.409,0.9,2.6,0.35,0.9,1.8,0.491,0.511,0.5,0.7,0.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1
14,Thaddeus Young,35,23,6,15.2,2.3,3.8,0.621,0.0,0.3,0.167,2.3,3.5,0.654,0.626,0.2,0.5,0.417,1.3,2.0,3.3,2.2,0.8,0.1,0.5,1.7,5.0
15,Ochai Agbaji,23,5,0,14.6,2.2,5.2,0.423,1.0,3.0,0.333,1.2,2.2,0.545,0.519,0.4,0.6,0.667,0.8,0.8,1.6,0.8,0.6,0.4,1.4,1.4,5.8
16,Chris Boucher,31,47,0,13.7,2.1,4.3,0.49,0.6,1.9,0.322,1.5,2.4,0.623,0.561,1.4,1.8,0.753,1.2,2.8,4.0,0.4,0.3,0.4,0.5,1.3,6.2
17,Jontay Porter,24,17,5,13.0,1.5,4.1,0.371,0.7,2.2,0.324,0.8,1.9,0.424,0.457,0.6,0.7,0.917,1.0,2.2,3.2,1.8,0.7,0.6,0.6,1.6,4.4
