Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Scottie Barnes,22.0,57,57.0,2002,426,895,0.476,99,283,0.35,327,612,0.534,0.531,190,243,0.782,133,332,465,341,71,82,156,114,1141
2.0,Dennis Schröder,30.0,51,33.0,1559,247,559,0.442,77,220,0.35,170,339,0.501,0.511,127,149,0.852,22,118,140,313,46,8,83,105,698
3.0,Gary Trent Jr.,25.0,52,22.0,1379,225,536,0.42,126,301,0.419,99,235,0.421,0.537,35,50,0.7,13,103,116,80,49,8,36,67,611
4.0,Pascal Siakam,29.0,39,39.0,1354,325,623,0.522,46,145,0.317,279,478,0.584,0.559,169,223,0.758,54,192,246,190,32,10,83,87,865
5.0,Jakob Poeltl,28.0,46,46.0,1229,225,340,0.662,0,0,,225,340,0.662,0.662,56,101,0.554,132,264,396,112,30,71,74,135,506
6.0,OG Anunoby,26.0,27,27.0,900,157,321,0.489,61,163,0.374,96,158,0.608,0.584,33,46,0.717,24,82,106,72,28,13,43,62,408
7.0,Immanuel Quickley,24.0,22,22.0,710,127,310,0.41,63,147,0.429,64,163,0.393,0.511,55,66,0.833,8,84,92,124,16,3,28,41,372
8.0,RJ Barrett,23.0,20,20.0,669,156,288,0.542,28,75,0.373,128,213,0.601,0.59,62,99,0.626,23,113,136,74,13,8,42,54,402
9.0,Chris Boucher,31.0,47,0.0,645,100,204,0.49,29,90,0.322,71,114,0.623,0.561,64,85,0.753,56,132,188,19,14,21,22,63,293
10.0,Gradey Dick,20.0,36,1.0,558,75,178,0.421,38,106,0.358,37,72,0.514,0.528,23,25,0.92,15,47,62,40,18,0,22,48,211
11.0,Malachi Flynn,25.0,31,0.0,474,56,137,0.409,28,80,0.35,28,57,0.491,0.511,17,22,0.773,13,52,65,73,18,6,33,42,157
12.0,Precious Achiuwa,24.0,25,0.0,437,78,170,0.459,13,47,0.277,65,123,0.528,0.497,24,42,0.571,50,86,136,44,16,12,29,40,193
13.0,Bruce Brown,27.0,16,5.0,421,60,130,0.462,9,32,0.281,51,98,0.52,0.496,23,23,1.0,15,51,66,37,13,8,15,33,152
14.0,Thaddeus Young,35.0,23,6.0,350,54,87,0.621,1,6,0.167,53,81,0.654,0.626,5,12,0.417,29,46,75,50,18,3,11,38,114
15.0,Jalen McDaniels,26.0,34,0.0,299,35,106,0.33,11,53,0.208,24,53,0.453,0.382,14,20,0.7,9,33,42,17,11,3,18,30,95
16.0,Jontay Porter,24.0,17,5.0,221,26,70,0.371,12,37,0.324,14,33,0.424,0.457,11,12,0.917,17,37,54,30,12,11,10,28,75
17.0,Otto Porter Jr.,30.0,15,1.0,174,14,33,0.424,8,23,0.348,6,10,0.6,0.545,3,3,1.0,6,23,29,8,5,5,2,19,39
18.0,Jordan Nwora,25.0,12,1.0,143,20,52,0.385,9,25,0.36,11,27,0.407,0.471,19,21,0.905,5,22,27,16,6,2,7,14,68
19.0,Kelly Olynyk,32.0,5,0.0,91,17,35,0.486,2,10,0.2,15,25,0.6,0.514,10,10,1.0,6,16,22,12,7,3,4,14,46
20.0,Ochai Agbaji,23.0,5,0.0,73,11,26,0.423,5,15,0.333,6,11,0.545,0.519,2,3,0.667,4,4,8,4,3,2,7,7,29
21.0,Garrett Temple,37.0,16,0.0,69,8,21,0.381,2,9,0.222,6,12,0.5,0.429,5,6,0.833,5,6,11,6,3,0,5,6,23
22.0,Mouhamadou Gueye,25.0,1,0.0,6,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,1,3,0,0,2,0,1,2
23.0,Markquis Nowell,24.0,1,0.0,4,0,1,0.0,0,0,,0,1,0.0,0.0,2,2,1.0,2,0,2,2,1,0,0,0,2
24.0,Ron Harper Jr.,23.0,1,0.0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0
25.0,Javon Freeman-Liberty,24.0,2,0.0,4,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,0,1,0,0,0,0,0,2
26.0,D.J. Carton,23.0,1,0.0,4,1,1,1.0,0,0,,1,1,1.0,1.0,1,1,1.0,0,1,1,0,0,0,0,2,3
27.0,Kira Lewis Jr.,22.0,1,0.0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
,,,57,,13780,2445,5129,0.477,667,1867,0.357,1778,3262,0.545,0.542,950,1264,0.752,644,1845,2489,1665,430,281,764,1053,6507
