Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Scottie Barnes,22,57,57,2002,10.3,21.7,0.476,2.4,6.9,0.35,7.9,14.8,0.534,4.6,5.9,0.782,3.2,8.0,11.3,8.3,1.7,2.0,3.8,2.8,27.6,,115.0,115
2,Dennis Schröder,30,51,33,1559,7.7,17.4,0.442,2.4,6.8,0.35,5.3,10.5,0.501,4.0,4.6,0.852,0.7,3.7,4.4,9.7,1.4,0.2,2.6,3.3,21.7,,118.0,121
3,Gary Trent Jr.,25,52,22,1379,7.9,18.8,0.42,4.4,10.6,0.419,3.5,8.3,0.421,1.2,1.8,0.7,0.5,3.6,4.1,2.8,1.7,0.3,1.3,2.4,21.5,,109.0,120
4,Pascal Siakam,29,39,39,1354,11.6,22.3,0.522,1.6,5.2,0.317,10.0,17.1,0.584,6.1,8.0,0.758,1.9,6.9,8.8,6.8,1.1,0.4,3.0,3.1,31.0,,119.0,119
5,Jakob Poeltl,28,46,46,1229,8.9,13.4,0.662,0.0,0.0,,8.9,13.4,0.662,2.2,4.0,0.554,5.2,10.4,15.6,4.4,1.2,2.8,2.9,5.3,20.0,,124.0,114
6,OG Anunoby,26,27,27,900,8.5,17.3,0.489,3.3,8.8,0.374,5.2,8.5,0.608,1.8,2.5,0.717,1.3,4.4,5.7,3.9,1.5,0.7,2.3,3.3,22.0,,113.0,120
7,Immanuel Quickley,24,22,22,710,8.7,21.2,0.41,4.3,10.0,0.429,4.4,11.1,0.393,3.8,4.5,0.833,0.5,5.7,6.3,8.5,1.1,0.2,1.9,2.8,25.4,,117.0,120
8,RJ Barrett,23,20,20,669,11.3,20.9,0.542,2.0,5.4,0.373,9.3,15.4,0.601,4.5,7.2,0.626,1.7,8.2,9.9,5.4,0.9,0.6,3.0,3.9,29.1,,115.0,119
9,Chris Boucher,31,47,0,645,7.5,15.3,0.49,2.2,6.8,0.322,5.3,8.6,0.623,4.8,6.4,0.753,4.2,9.9,14.1,1.4,1.1,1.6,1.7,4.7,22.0,,123.0,116
10,Gradey Dick,20,36,1,558,6.5,15.5,0.421,3.3,9.2,0.358,3.2,6.3,0.514,2.0,2.2,0.92,1.3,4.1,5.4,3.5,1.6,0.0,1.9,4.2,18.3,,110.0,120
11,Malachi Flynn,25,31,0,474,5.7,14.0,0.409,2.9,8.2,0.35,2.9,5.8,0.491,1.7,2.3,0.773,1.3,5.3,6.7,7.5,1.8,0.6,3.4,4.3,16.1,,106.0,118
12,Precious Achiuwa,24,25,0,437,8.7,18.9,0.459,1.4,5.2,0.277,7.2,13.6,0.528,2.7,4.7,0.571,5.5,9.5,15.1,4.9,1.8,1.3,3.2,4.4,21.4,,107.0,115
13,Bruce Brown,27,16,5,421,6.9,15.0,0.462,1.0,3.7,0.281,5.9,11.3,0.52,2.6,2.6,1.0,1.7,5.9,7.6,4.3,1.5,0.9,1.7,3.8,17.5,,113.0,118
14,Thaddeus Young,35,23,6,350,7.5,12.1,0.621,0.1,0.8,0.167,7.3,11.2,0.654,0.7,1.7,0.417,4.0,6.4,10.4,6.9,2.5,0.4,1.5,5.3,15.8,,133.0,116
15,Jalen McDaniels,26,34,0,299,5.7,17.2,0.33,1.8,8.6,0.208,3.9,8.6,0.453,2.3,3.2,0.7,1.5,5.4,6.8,2.8,1.8,0.5,2.9,4.9,15.4,,84.0,119
16,Jontay Porter,24,17,5,221,5.7,15.4,0.371,2.6,8.1,0.324,3.1,7.2,0.424,2.4,2.6,0.917,3.7,8.1,11.8,6.6,2.6,2.4,2.2,6.1,16.5,,113.0,113
