Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Scottie Barnes,22,57,2002,,33%,35%,31%,2%,-3.3,0.2,98,29,39,16,106,15,812,28,45
2,Dennis Schröder,30,51,1559,100%,,,,,-1.4,4.5,50,18,33,8,54,18,749,11,40
3,Gary Trent Jr.,25,52,1379,6%,76%,18%,,,-4.0,-1.3,16,7,25,6,19,4,182,5,19
4,Pascal Siakam,29,39,1354,,,1%,85%,14%,-0.2,6.2,33,23,25,13,116,4,466,39,21
5,Jakob Poeltl,28,46,1229,,,,,100%,-1.0,4.2,27,17,75,20,49,3,249,15,35
6,OG Anunoby,26,27,900,,2%,80%,16%,2%,2.0,7.9,17,11,26,10,24,4,169,9,20
7,Immanuel Quickley,24,22,710,71%,29%,,,,-5.9,-3.4,14,10,23,2,30,9,279,6,17
8,RJ Barrett,23,20,669,,19%,62%,18%,,-4.7,-1.8,19,11,30,6,52,3,183,10,28
9,Chris Boucher,31,47,645,,,13%,57%,30%,2.9,8.1,5,7,42,4,46,11,43,11,14
10,Gradey Dick,20,36,558,3%,45%,48%,5%,,-9.1,-7.2,11,6,28,2,10,7,100,2,10
11,Malachi Flynn,25,31,474,88%,12%,,,,-7.2,-4.6,16,10,16,4,8,3,179,2,6
12,Precious Achiuwa,24,25,437,,,,3%,97%,-5.2,-2.2,12,8,23,5,18,1,105,2,13
13,Bruce Brown,27,16,421,28%,64%,8%,,,-11.1,-9.2,9,4,19,1,11,0,90,3,7
14,Thaddeus Young,35,23,350,,,,4%,96%,-5.2,-2.1,5,5,24,1,5,4,111,2,8
15,Jalen McDaniels,26,34,299,,3%,34%,56%,6%,-8.9,-6.3,10,7,18,1,10,0,42,3,7
16,Jontay Porter,24,17,221,,,,,100%,-12.2,-9.7,5,2,14,3,5,0,72,0,3
17,Otto Porter Jr.,30,15,174,,12%,63%,22%,2%,4.2,8.0,1,0,11,1,2,0,18,1,2
18,Jordan Nwora,25,12,143,,4%,34%,56%,6%,-10.2,-7.3,4,1,7,1,9,1,36,1,1
19,Kelly Olynyk,32,5,91,,,,3%,97%,-20.0,-17.3,2,0,10,0,5,1,27,0,3
20,Ochai Agbaji,23,5,73,5%,63%,31%,1%,,2.0,5.5,2,2,3,2,2,0,8,1,2
21,Garrett Temple,37,16,69,52%,46%,3%,,,-10.6,-7.5,4,1,4,0,2,0,17,0,2
22,Mouhamadou Gueye,25,1,6,,,,100%,,30.8,34.2,0,0,1,0,0,0,0,0,0
23,Markquis Nowell,24,1,4,100%,,,,,57.1,60.6,0,0,0,0,1,0,5,0,1
24,Ron Harper Jr.,23,1,4,,,,100%,,-112.5,-109.3,0,0,1,0,0,0,2,0,0
25,Javon Freeman-Liberty,24,2,4,60%,40%,,,,-103.6,-100.4,0,0,0,0,0,0,0,0,0
26,D.J. Carton,23,1,4,100%,,,,,2.2,5.6,0,0,0,0,1,0,0,1,0
27,Kira Lewis Jr.,22,1,2,100%,,,,,-200.0,-196.8,0,0,0,0,0,0,0,0,0
