Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Scottie Barnes,22,57,2002,19.4,0.569,0.316,0.272,7.2,18.6,12.8,25.3,1.7,3.6,13.5,24.7,,2.4,2.2,4.6,0.11,,2.9,0.9,3.7,2.9
2,Dennis Schröder,30,51,1559,13.9,0.559,0.394,0.267,1.5,8.5,4.9,27.6,1.4,0.4,11.7,19.4,,2.0,0.8,2.8,0.085,,-0.6,-1.1,-1.8,0.1
3,Gary Trent Jr.,25,52,1379,10.6,0.547,0.562,0.093,1.0,8.4,4.6,8.0,1.7,0.5,6.1,18.4,,0.3,0.8,1.1,0.037,,-1.9,-1.1,-3.1,-0.4
4,Pascal Siakam,29,39,1354,18.8,0.6,0.233,0.358,4.3,15.9,10.0,21.7,1.1,0.6,10.3,25.4,,2.4,0.9,3.3,0.115,,2.0,-0.7,1.3,1.2
5,Jakob Poeltl,28,46,1229,18.3,0.658,0.0,0.297,11.6,24.1,17.7,12.9,1.2,5.0,16.1,15.9,,2.1,1.5,3.6,0.139,,-0.6,1.1,0.5,0.8
6,OG Anunoby,26,27,900,12.6,0.598,0.508,0.143,2.9,10.2,6.5,11.2,1.5,1.3,11.2,18.2,,0.6,0.6,1.1,0.06,,-0.9,-0.6,-1.5,0.1
7,Immanuel Quickley,24,22,710,14.8,0.549,0.474,0.213,1.2,13.3,7.1,24.7,1.1,0.4,7.6,22.1,,0.9,0.4,1.3,0.089,,1.0,-1.6,-0.6,0.3
8,RJ Barrett,23,20,669,16.9,0.606,0.26,0.344,3.7,19.0,11.2,16.9,0.9,1.0,11.2,23.9,,0.7,0.5,1.2,0.087,,0.9,-1.1,-0.2,0.3
9,Chris Boucher,31,47,645,15.7,0.607,0.441,0.417,9.4,23.0,16.0,4.0,1.1,2.8,8.4,17.5,,1.0,0.6,1.6,0.123,,-0.5,-1.3,-1.9,0.0
10,Gradey Dick,20,36,558,9.4,0.558,0.596,0.14,2.9,9.5,6.1,9.5,1.6,0.0,10.4,16.2,,0.2,0.3,0.5,0.041,,-3.0,-1.1,-4.1,-0.3
11,Malachi Flynn,25,31,474,10.0,0.535,0.584,0.161,3.0,12.3,7.6,20.0,1.8,1.1,18.4,16.2,,0.0,0.4,0.3,0.033,,-2.9,0.2,-2.7,-0.1
12,Precious Achiuwa,24,25,437,15.0,0.512,0.276,0.247,12.4,22.1,17.1,14.2,1.8,2.4,13.3,21.3,,0.0,0.5,0.5,0.056,,-1.5,-0.1,-1.5,0.1
13,Bruce Brown,27,16,421,11.4,0.542,0.246,0.177,3.8,13.6,8.6,11.8,1.5,1.7,9.7,15.7,,0.2,0.3,0.5,0.063,,-3.0,-0.6,-3.6,-0.2
14,Thaddeus Young,35,23,350,16.0,0.618,0.069,0.138,9.0,14.8,11.8,19.5,2.5,0.7,10.7,12.6,,0.7,0.3,1.1,0.146,,-0.3,0.9,0.6,0.2
15,Jalen McDaniels,26,34,299,4.2,0.414,0.5,0.189,3.3,12.4,7.7,7.4,1.8,0.9,13.6,19.0,,-0.7,0.2,-0.5,-0.077,,-7.5,-1.5,-9.1,-0.5
16,Jontay Porter,24,17,221,14.2,0.498,0.529,0.171,8.3,18.8,13.5,17.6,2.6,4.3,11.7,16.5,,0.1,0.3,0.4,0.097,,-1.3,1.5,0.3,0.1
17,Otto Porter Jr.,30,15,174,8.7,0.568,0.697,0.091,3.7,14.8,9.2,5.7,1.4,2.5,5.5,8.9,,0.1,0.1,0.3,0.079,,-3.6,0.4,-3.2,-0.1
18,Jordan Nwora,25,12,143,14.2,0.555,0.481,0.404,3.8,17.3,10.4,15.0,2.0,1.2,10.3,20.4,,0.1,0.1,0.3,0.095,,-1.2,-0.6,-1.9,0.0
19,Kelly Olynyk,32,5,91,19.8,0.584,0.286,0.286,7.1,19.7,13.3,18.8,3.7,2.9,9.2,20.4,,0.2,0.1,0.3,0.173,,0.4,3.6,4.0,0.1
20,Ochai Agbaji,23,5,73,7.8,0.531,0.577,0.115,5.9,6.2,6.0,7.4,2.0,2.4,20.4,20.1,,-0.1,0.1,-0.1,-0.042,,-4.0,-0.8,-4.9,-0.1
21,Garrett Temple,37,16,69,8.4,0.486,0.429,0.286,7.8,9.8,8.8,11.3,2.1,0.0,17.5,17.7,,-0.1,0.0,0.0,-0.004,,-4.6,-1.8,-6.4,-0.1
22,Mouhamadou Gueye,25,1,6,23.6,0.333,0.0,0.0,36.0,18.7,27.5,0.0,0.0,29.1,0.0,21.4,,0.0,0.0,0.0,0.115,,-0.5,1.6,1.1,0.0
23,Markquis Nowell,24,1,4,55.5,0.532,0.0,2.0,54.0,0.0,27.5,56.4,12.1,0.0,0.0,20.1,,0.0,0.0,0.1,0.677,,29.1,14.4,43.5,0.0
24,Ron Harper Jr.,23,1,4,0.0,,,,0.0,0.0,0.0,28.2,0.0,0.0,,0.0,,0.0,0.0,0.0,0.096,,-11.8,3.0,-8.7,0.0
