No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
4,Scottie Barnes,SG,6-7,227,"August 1, 2001",us,2,Florida State
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,5,Duke
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lc,6,Oregon
19,Jakob Poeltl,C,7-0,245,"October 15, 1995",at,7,Utah
1,Gradey Dick,SG,6-6,205,"November 20, 2003",us,R,Kansas
2,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us,4,San Diego State
5,Immanuel Quickley,PG,6-3,190,"June 17, 1999",us,3,Kentucky
9,RJ Barrett,SG,6-6,214,"June 14, 2000",ca,4,Duke
"11, 34",Jontay Porter (TW),PF,6-11,240,"November 15, 1999",us,1,Missouri
11,Bruce Brown,PG,6-4,202,"August 15, 1996",us,5,Miami (FL)
14,Garrett Temple,SG,6-5,195,"May 8, 1986",us,13,LSU
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us,3,Louisville
41,Kelly Olynyk,C,6-11,240,"April 19, 1991",ca,10,Gonzaga
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",us,1,Kansas
0,Javon Freeman-Liberty (TW),PG,6-4,180,"October 20, 1999",us,R,"Valparaiso, DePaul"
3,D.J. Carton,SG,6-2,200,"August 5, 2000",us,R,"Ohio State, Marquette"
24,Markquis Nowell (TW),SG,5-8,160,"December 25, 1999",us,R,"Little Rock, Kansas State"
