,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Dillon Brooks,27:34,3,6,.500,1,3,.333,2,2,1.000,0,6,6,1,0,0,1,1,9,+34
1,Fred VanVleet,27:23,3,8,.375,3,5,.600,2,2,1.000,0,4,4,5,0,0,1,1,11,+34
2,Alperen Şengün,25:37,7,13,.538,0,2,.000,3,4,.750,2,6,8,12,1,0,1,3,17,+30
3,Jalen Green,25:36,5,9,.556,3,5,.600,10,12,.833,0,2,2,2,1,1,3,0,23,+13
4,Jabari Smith Jr.,21:50,5,8,.625,3,5,.600,0,0,,0,4,4,0,0,1,0,4,13,+10
5,player,,,,,,,,,,,,,,,,,,,,
6,Aaron Holiday,21:09,6,6,1.000,0,0,,1,1,1.000,0,3,3,1,1,0,2,1,13,+16
7,Jae'Sean Tate,20:35,3,5,.600,2,4,.500,0,0,,1,3,4,1,2,0,0,2,8,+28
8,Jock Landale,15:53,2,3,.667,1,2,.500,0,0,,1,0,1,1,1,0,2,2,5,+6
9,Cam Whitmore,12:00,3,5,.600,0,1,.000,1,2,.500,0,1,1,1,1,0,0,1,7,-12
10,Jermaine Samuels,12:00,2,2,1.000,0,0,,0,0,,1,2,3,0,0,1,0,1,4,-12
11,Reggie Bullock,12:00,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,-12
12,Nate Hinton,6:30,2,4,.500,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,6,-11
13,Boban Marjanović,6:30,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,1,0,0,0,-11
14,Jeff Green,5:23,2,2,1.000,0,0,,2,4,.500,0,1,1,0,1,0,0,1,6,+12
