,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jordan Poole,32:42,11,26,.423,3,9,.333,5,5,1.000,0,1,1,1,0,0,0,4,30,-26
1,Deni Avdija,31:27,3,5,.600,0,1,.000,1,2,.500,1,3,4,2,0,1,0,3,7,-28
2,Kyle Kuzma,30:58,10,15,.667,2,5,.400,0,0,,0,3,3,13,2,1,2,2,22,+3
3,Daniel Gafford,28:38,7,13,.538,0,0,,0,0,,1,4,5,2,0,2,0,3,14,-1
4,Tyus Jones,26:18,9,13,.692,0,1,.000,0,0,,0,2,2,3,0,0,0,0,18,+9
5,player,,,,,,,,,,,,,,,,,,,,
6,Bilal Coulibaly,25:16,5,7,.714,2,2,1.000,0,0,,1,2,3,1,2,0,1,3,12,+4
7,Corey Kispert,21:02,5,9,.556,1,4,.250,1,2,.500,1,1,2,1,1,0,0,1,12,-7
8,Danilo Gallinari,18:07,2,6,.333,0,3,.000,0,0,,1,1,2,3,0,0,0,1,4,-14
9,Landry Shamet,14:27,3,4,.750,2,3,.667,0,0,,0,3,3,2,0,0,1,2,8,-3
10,Johnny Davis,6:05,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-10
11,Eugene Omoruyi,1:15,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,+2
12,Jared Butler,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
13,Anthony Gill,1:15,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+2
14,Ryan Rollins,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
15,Mike Muscala,Did Not Play,,,,,,,,,,,,,,,,,,,
