,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Craig Porter Jr.,35:17,6,12,.500,2,5,.400,2,3,.667,0,2,2,5,1,2,4,1,16,-24
1,Darius Garland,27:06,6,11,.545,1,2,.500,1,2,.500,0,1,1,3,1,0,3,3,14,-24
2,Evan Mobley,25:14,5,7,.714,0,0,,3,3,1.000,2,8,10,2,0,0,2,0,13,-12
3,Max Strus,24:51,2,6,.333,2,4,.500,0,0,,0,3,3,3,0,1,2,0,6,-11
4,Jarrett Allen,22:51,1,2,.500,0,0,,2,2,1.000,0,4,4,2,0,0,3,2,4,-24
5,player,,,,,,,,,,,,,,,,,,,,
6,Georges Niang,19:33,4,9,.444,3,5,.600,0,0,,1,2,3,1,0,0,0,5,11,-17
7,Caris LeVert,18:17,4,8,.500,2,3,.667,2,2,1.000,0,2,2,3,0,1,2,0,12,-17
8,Sam Merrill,16:54,3,6,.500,3,5,.600,0,0,,0,1,1,1,0,0,1,3,9,-10
9,Emoni Bates,15:38,1,5,.200,1,5,.200,0,0,,0,1,1,1,1,0,0,1,3,-12
10,Tristan Thompson,13:09,2,3,.667,0,0,,0,2,.000,2,1,3,0,0,1,0,1,4,+2
11,Damian Jones,12:00,1,5,.200,0,0,,0,0,,2,1,3,1,1,1,1,0,2,-11
12,Isaiah Mobley,9:10,1,3,.333,0,1,.000,0,0,,0,1,1,3,1,0,1,1,2,-5
