,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Donovan Mitchell,32:53,11,20,.550,5,11,.455,2,2,1.000,0,2,2,5,2,0,0,1,29,+28
1,Jarrett Allen,29:34,8,10,.800,0,0,,3,4,.750,1,6,7,3,0,2,0,1,19,+22
2,Evan Mobley,27:45,5,12,.417,0,1,.000,1,2,.500,1,13,14,7,2,1,0,3,11,+4
3,Darius Garland,27:36,4,7,.571,2,4,.500,1,1,1.000,1,1,2,5,0,0,2,1,11,+4
4,Max Strus,26:23,8,13,.615,6,10,.600,0,0,,1,4,5,2,2,0,0,0,22,+20
5,player,,,,,,,,,,,,,,,,,,,,
6,Isaac Okoro,24:44,3,4,.750,2,2,1.000,2,4,.500,0,0,0,0,2,1,2,1,10,+15
7,Caris LeVert,23:54,6,12,.500,3,4,.750,2,4,.500,1,5,6,7,1,0,1,3,17,+18
8,Dean Wade,15:25,2,2,1.000,2,2,1.000,0,0,,0,5,5,2,0,0,0,0,6,+9
9,Georges Niang,15:15,1,4,.250,0,3,.000,0,0,,0,3,3,2,0,0,2,4,2,+2
10,Sam Merrill,10:57,3,4,.750,3,4,.750,0,0,,0,0,0,2,1,0,0,0,9,+8
11,Damian Jones,2:47,0,0,,0,0,,0,0,,0,1,1,1,0,1,1,1,0,0
12,Craig Porter Jr.,2:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
