,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Bradley Beal,39:45,.394,.313,.438,.250,3.1,8.6,6.0,29.5,0.0,0.0,18.4,23.9,94,137,-10.9
1,Kevin Durant,38:09,.703,.688,.375,.083,3.2,21.0,12.4,34.3,2.5,2.5,13.9,33.0,127,126,10.9
2,Devin Booker,38:08,.644,.594,.500,.375,6.5,12.0,9.3,13.6,1.3,0.0,9.7,23.6,127,133,-1.4
3,Grayson Allen,31:16,.806,.786,.429,.143,0.0,7.3,3.8,15.6,1.6,6.0,21.2,13.2,131,130,1.3
4,Jusuf Nurkić,23:10,.742,.778,.000,.111,5.3,39.5,23.0,19.1,2.1,4.1,9.6,19.6,138,121,7.5
5,player,,,,,,,,,,,,,,,,
6,Eric Gordon,27:45,.600,.600,1.000,.000,0.0,12.4,6.4,4.0,1.7,0.0,28.6,11.0,84,132,-7.0
7,Drew Eubanks,17:23,1.000,1.000,.000,.000,14.2,13.1,13.6,7.1,0.0,0.0,25.0,10.0,156,136,-1.1
8,Josh Okogie,14:33,.500,.500,.333,.000,0.0,0.0,0.0,0.0,0.0,6.5,0.0,9.0,99,135,-4.3
9,Keita Bates-Diop,9:51,.600,.600,.800,.000,12.5,11.6,12.0,0.0,0.0,0.0,0.0,22.1,124,136,-0.2
10,Bol Bol,Did Not Play,,,,,,,,,,,,,,,
11,Jordan Goodwin,Did Not Play,,,,,,,,,,,,,,,
12,Nassir Little,Did Not Play,,,,,,,,,,,,,,,
13,Chimezie Metu,Did Not Play,,,,,,,,,,,,,,,
14,Yuta Watanabe,Did Not Play,,,,,,,,,,,,,,,
