,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Paul George,31:52,11,16,.688,4,8,.500,2,2,1.000,0,5,5,6,1,0,2,1,28,+23
1,Kawhi Leonard,28:04,8,17,.471,2,6,.333,3,3,1.000,2,2,4,3,1,1,0,0,21,+17
2,James Harden,28:04,4,12,.333,2,8,.250,3,3,1.000,1,2,3,10,2,0,0,2,13,+17
3,Terance Mann,24:36,0,6,.000,0,4,.000,0,0,,0,6,6,2,4,0,1,0,0,+7
4,Ivica Zubac,22:16,3,5,.600,0,0,,2,2,1.000,2,9,11,0,0,1,1,0,8,+4
5,player,,,,,,,,,,,,,,,,,,,,
6,Norman Powell,29:44,5,12,.417,2,6,.333,7,7,1.000,0,5,5,0,2,1,1,0,19,+18
7,Russell Westbrook,25:28,4,11,.364,0,1,.000,2,4,.500,0,2,2,6,3,0,0,1,10,+7
8,Daniel Theis,21:29,8,10,.800,1,1,1.000,2,2,1.000,3,4,7,2,1,0,1,4,19,+18
9,P.J. Tucker,15:40,0,0,,0,0,,0,0,,0,5,5,0,0,0,0,2,0,+5
10,Moussa Diabaté,4:15,1,2,.500,0,0,,1,2,.500,2,0,2,0,1,0,0,0,3,+3
11,Bones Hyland,4:15,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,1,0,3,+3
12,Amir Coffey,4:15,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
