,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jalen Duren,33:23,.588,.625,.000,.625,17.4,27.2,21.2,12.0,1.3,12.0,37.0,18.4,88,110,-5.3
1,Jaden Ivey,32:32,.582,.583,.250,.167,5.1,19.9,10.9,30.2,1.4,2.5,18.9,18.5,110,119,0.6
2,Cade Cunningham,32:11,.547,.500,.318,.182,2.6,16.1,7.8,37.2,1.4,0.0,4.0,29.2,122,121,4.6
3,Isaiah Stewart,28:38,.318,.318,.636,.000,5.8,27.2,14.1,0.0,1.6,0.0,0.0,14.6,81,120,-11.3
4,Ausar Thompson,27:52,.571,.571,.143,.000,0.0,18.6,7.3,11.8,3.2,2.9,6.7,20.4,111,114,-0.8
5,player,,,,,,,,,,,,,,,,
6,Isaiah Livers,23:05,.364,.364,.727,.000,0.0,5.6,2.2,17.0,1.9,0.0,15.4,21.4,75,121,-9.6
7,Marcus Sasser,22:15,.350,.350,.500,.000,3.7,0.0,2.3,17.7,0.0,3.6,9.1,18.8,84,123,-9.8
8,Killian Hayes,15:35,.000,.000,.000,.000,5.3,25.0,13.0,21.5,0.0,15.4,0.0,2.4,123,110,1.9
9,Alec Burks,13:01,.410,.250,.625,.500,0.0,0.0,0.0,10.4,0.0,0.0,0.0,28.5,102,126,-10.3
10,James Wiseman,9:17,.694,.750,.000,1.000,26.7,14.0,21.8,0.0,0.0,0.0,14.8,27.7,122,125,0.5
11,Stanley Umude,2:08,.000,.000,1.000,.000,38.8,0.0,23.7,0.0,0.0,0.0,50.0,35.6,27,126,-55.2
12,Marvin Bagley III,Did Not Play,,,,,,,,,,,,,,,
13,Kevin Knox,Did Not Play,,,,,,,,,,,,,,,
