,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jaylen Brown,5:00,1,3,.333,0,0,,0,0,,0,2,2,1,0,1,0,0,2,-6
1,Jayson Tatum,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
2,Derrick White,5:00,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,1,0,-6
3,Al Horford,5:00,1,4,.250,1,3,.333,0,0,,1,0,1,0,0,0,1,0,3,-6
4,Jrue Holiday,5:00,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,-6
5,player,,,,,,,,,,,,,,,,,,,,
6,Neemias Queta, ,,,,,,,,,,,,,,,,,,,
7,Sam Hauser, ,,,,,,,,,,,,,,,,,,,
8,Payton Pritchard, ,,,,,,,,,,,,,,,,,,,
9,Oshae Brissett, ,,,,,,,,,,,,,,,,,,,
10,Svi Mykhailiuk, ,,,,,,,,,,,,,,,,,,,
11,Dalano Banton,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Lamar Stevens,Did Not Play,,,,,,,,,,,,,,,,,,,
