,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Scottie Barnes,31:23,11,19,.579,3,3,1.000,4,5,.800,5,4,9,7,1,0,3,2,29,-24
1,Pascal Siakam,28:36,4,9,.444,0,2,.000,3,5,.600,2,5,7,5,0,1,4,1,11,-21
2,Jakob Poeltl,27:10,6,10,.600,0,0,,1,2,.500,7,4,11,1,4,2,0,4,13,-17
3,Gradey Dick,26:23,2,10,.200,1,6,.167,6,6,1.000,0,0,0,2,1,0,1,4,11,-29
4,Dennis Schröder,22:32,2,9,.222,1,4,.250,4,4,1.000,0,3,3,5,2,0,2,3,9,-29
5,player,,,,,,,,,,,,,,,,,,,,
6,Malachi Flynn,26:52,3,11,.273,0,8,.000,1,1,1.000,2,1,3,5,0,1,0,1,7,+4
7,Chris Boucher,20:16,2,8,.250,1,3,.333,4,4,1.000,5,4,9,0,0,1,1,1,9,+6
8,Jalen McDaniels,18:18,3,10,.300,1,4,.250,0,0,,0,4,4,1,1,1,1,0,7,+21
9,Precious Achiuwa,17:19,4,7,.571,1,2,.500,2,2,1.000,3,1,4,0,0,2,1,3,11,-3
10,Otto Porter Jr.,10:38,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
11,Garrett Temple,3:31,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+4
12,Markquis Nowell,3:31,0,1,.000,0,0,,2,2,1.000,2,0,2,2,1,0,0,0,2,+4
13,Thaddeus Young,3:31,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,+4
