,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Mikal Bridges,33:28,8,17,.471,3,8,.375,1,2,.500,0,2,2,3,0,0,0,0,20,-5
1,Dorian Finney-Smith,32:45,8,14,.571,5,9,.556,0,0,,2,1,3,0,0,1,0,1,21,-8
2,Ben Simmons,32:44,4,8,.500,0,0,,0,0,,3,6,9,6,1,0,4,3,8,-9
3,Spencer Dinwiddie,30:56,4,7,.571,2,4,.500,0,0,,0,3,3,9,2,0,3,0,10,+15
4,Cam Thomas,30:55,6,18,.333,3,9,.333,2,2,1.000,1,4,5,4,0,1,0,1,17,-5
5,player,,,,,,,,,,,,,,,,,,,,
6,Royce O'Neale,31:46,3,10,.300,3,9,.333,0,0,,0,5,5,8,0,1,0,4,9,-3
7,Dennis Smith Jr.,16:27,3,9,.333,1,2,.500,0,0,,1,0,1,1,1,0,1,0,7,+8
8,Lonnie Walker IV,15:51,5,10,.500,1,4,.250,0,0,,0,1,1,1,0,1,0,2,11,+9
9,Day'Ron Sharpe,15:06,3,3,1.000,0,0,,0,1,.000,1,9,10,0,0,0,0,1,6,+8
10,Armoni Brooks,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Harry Giles,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Trendon Watford,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Jalen Wilson,Did Not Play,,,,,,,,,,,,,,,,,,,
