,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Collin Sexton,32:37,10,18,.556,2,6,.333,6,7,.857,1,2,3,1,1,0,1,2,28,-27
1,Kelly Olynyk,29:12,4,7,.571,1,2,.500,0,0,,0,5,5,13,1,1,1,3,9,-18
2,Lauri Markkanen,27:57,7,13,.538,2,5,.400,2,2,1.000,1,5,6,3,0,0,2,2,18,-2
3,Kris Dunn,27:01,5,10,.500,1,4,.250,0,0,,1,3,4,3,1,1,6,1,11,-13
4,Simone Fontecchio,25:23,3,9,.333,1,5,.200,0,0,,0,2,2,0,0,0,0,0,7,-23
5,player,,,,,,,,,,,,,,,,,,,,
6,Talen Horton-Tucker,26:00,4,11,.364,2,4,.500,2,3,.667,1,2,3,5,3,0,1,0,12,-2
7,Ochai Agbaji,23:15,2,7,.286,1,3,.333,0,0,,3,1,4,0,1,0,0,2,5,+2
8,Taylor Hendricks,21:26,3,8,.375,2,5,.400,4,5,.800,1,2,3,1,1,0,0,0,12,+8
9,Walker Kessler,18:25,0,0,,0,0,,2,4,.500,1,2,3,1,0,1,1,2,2,-28
10,Johnny Juzang,4:22,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-1
11,Micah Potter,4:22,0,1,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,0,0,-1
