,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Kawhi Leonard,32:27,8,15,.533,1,3,.333,0,0,,0,3,3,2,5,1,3,1,17,+11
1,Paul George,31:20,10,19,.526,4,9,.444,1,2,.500,1,6,7,0,1,0,1,2,25,+21
2,James Harden,29:36,6,8,.750,3,4,.750,4,4,1.000,0,7,7,10,0,0,3,1,19,+25
3,Terance Mann,27:57,5,9,.556,3,6,.500,1,2,.500,3,2,5,3,0,0,1,2,14,+14
4,Ivica Zubac,27:40,8,9,.889,0,0,,3,6,.500,2,6,8,3,1,1,0,3,19,+14
5,player,,,,,,,,,,,,,,,,,,,,
6,Norman Powell,24:33,4,6,.667,2,3,.667,4,4,1.000,1,4,5,1,0,0,1,1,14,+20
7,Amir Coffey,23:29,4,5,.800,1,1,1.000,0,0,,0,2,2,0,0,0,0,3,9,+12
8,Russell Westbrook,14:59,3,6,.500,0,1,.000,3,3,1.000,2,0,2,7,2,0,1,2,9,-3
9,Daniel Theis,14:05,3,6,.500,0,1,.000,0,0,,2,1,3,3,1,1,1,3,6,+15
10,Brandon Boston Jr.,4:38,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,2,5,+2
11,Mason Plumlee,4:38,0,0,,0,0,,1,2,.500,0,2,2,3,0,0,0,0,1,+2
12,Kobe Brown,4:38,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,+2
13,Bones Hyland,Did Not Play,,,,,,,,,,,,,,,,,,,
14,P.J. Tucker,Did Not Play,,,,,,,,,,,,,,,,,,,
