,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Fred VanVleet,32:32,2,5,.400,2,4,.500,2,4,.500,0,1,1,5,0,2,1,4,8,-12
1,Dillon Brooks,31:21,7,9,.778,2,3,.667,2,4,.500,2,4,6,0,2,0,0,2,18,-6
2,Jabari Smith Jr.,31:00,5,9,.556,0,1,.000,3,5,.600,1,6,7,2,0,0,2,3,13,-8
3,Alperen Şengün,30:09,7,15,.467,1,1,1.000,4,6,.667,5,4,9,6,1,2,5,1,19,-4
4,Jalen Green,27:17,7,16,.438,1,7,.143,5,7,.714,0,5,5,3,0,0,2,2,20,-7
5,player,,,,,,,,,,,,,,,,,,,,
6,Cam Whitmore,23:25,6,12,.500,2,5,.400,0,1,.000,2,4,6,1,1,0,0,3,14,0
7,Amen Thompson,19:16,7,8,.875,0,1,.000,0,1,.000,2,1,3,0,1,0,1,2,14,-5
8,Jae'Sean Tate,12:48,1,4,.250,0,3,.000,0,0,,1,3,4,2,0,0,0,4,2,+5
9,Jeff Green,12:33,0,5,.000,0,1,.000,1,2,.500,1,1,2,0,0,2,1,1,1,-30
10,Jock Landale,8:45,2,2,1.000,0,0,,0,0,,1,0,1,0,1,3,0,0,4,+17
11,Aaron Holiday,5:30,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-5
12,Jeenathan Williams,5:23,0,2,.000,0,0,,2,2,1.000,1,0,1,1,1,0,1,1,2,+10
13,Reggie Bullock,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Boban Marjanović,Did Not Play,,,,,,,,,,,,,,,,,,,
