,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Mikal Bridges,39:10,.515,.385,.385,.615,2.5,22.6,11.3,10.5,0.0,2.3,19.5,20.9,102,119,-7.3
1,Nic Claxton,33:55,.747,.727,.000,.909,23.1,18.6,21.1,14.3,1.4,0.0,16.3,21.6,143,119,7.4
2,Spencer Dinwiddie,33:02,.786,.708,.583,.500,0.0,11.5,5.0,18.9,0.0,2.7,12.0,20.1,153,120,6.7
3,Cameron Johnson,32:08,.300,.300,.667,.000,3.0,7.9,5.2,8.2,1.5,0.0,0.0,18.6,92,120,-9.8
4,Dorian Finney-Smith,21:32,.750,.750,.833,.000,4.5,11.7,7.7,13.0,2.3,4.2,0.0,11.1,176,114,9.1
5,player,,,,,,,,,,,,,,,,
6,Dennis Smith Jr.,24:39,.591,.591,.364,.000,23.8,30.7,26.9,46.5,4.0,0.0,0.0,17.8,165,111,16.2
7,Cam Thomas,24:21,.586,.536,.357,.357,0.0,10.4,4.5,0.0,2.0,0.0,5.8,28.1,124,119,1.9
8,Royce O'Neale,16:18,.625,.625,.500,.000,12.0,15.5,13.5,16.8,3.0,0.0,55.6,22.0,70,115,-9.1
9,Day'Ron Sharpe,9:00,.630,.333,.000,1.333,10.9,14.0,12.3,29.9,5.4,0.0,0.0,21.1,169,110,15.9
10,Lonnie Walker IV,5:55,.000,.000,.500,.000,0.0,21.3,9.3,0.0,8.3,0.0,0.0,13.5,0,104,-10.3
11,Harry Giles,Did Not Play,,,,,,,,,,,,,,,
12,Trendon Watford,Did Not Play,,,,,,,,,,,,,,,
