,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Lauri Markkanen,40:03,5,12,.417,1,4,.250,10,12,.833,0,2,2,0,1,2,0,1,21,+1
1,Jordan Clarkson,35:35,14,26,.538,5,10,.500,4,4,1.000,1,2,3,5,1,0,0,0,37,0
2,John Collins,34:58,5,10,.500,1,2,.500,4,6,.667,4,10,14,1,0,2,0,6,15,-7
3,Keyonte George,28:58,5,11,.455,3,6,.500,2,3,.667,0,3,3,6,1,0,3,2,15,+2
4,Ochai Agbaji,25:29,3,4,.750,2,2,1.000,0,0,,2,3,5,0,0,3,0,3,8,+4
5,player,,,,,,,,,,,,,,,,,,,,
6,Collin Sexton,20:22,3,8,.375,0,2,.000,2,2,1.000,2,2,4,4,0,2,0,3,8,-6
7,Kelly Olynyk,19:54,3,4,.750,1,2,.500,0,0,,1,3,4,7,0,0,1,2,7,-2
8,Talen Horton-Tucker,19:02,2,5,.400,1,4,.250,4,4,1.000,0,3,3,4,0,1,3,4,9,-5
9,Simone Fontecchio,15:27,3,5,.600,2,4,.500,0,0,,0,1,1,0,0,0,1,2,8,-2
10,Kris Dunn,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
11,Taylor Hendricks,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Luka Šamanić,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Brice Sensabaugh,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Omer Yurtseven,Did Not Play,,,,,,,,,,,,,,,,,,,
