,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Cade Cunningham,38:54,11,27,.407,2,8,.250,9,10,.900,2,6,8,8,0,0,5,2,33,-8
1,Isaiah Stewart,36:56,3,9,.333,2,7,.286,0,0,,1,3,4,1,0,2,1,4,8,-4
2,Ausar Thompson,36:48,3,8,.375,0,1,.000,0,0,,3,12,15,3,0,1,2,4,6,-6
3,Killian Hayes,29:13,6,15,.400,0,3,.000,2,2,1.000,0,5,5,4,1,0,1,1,14,-3
4,Jalen Duren,28:27,5,10,.500,0,1,.000,1,1,1.000,3,9,12,5,0,0,2,5,11,-3
5,player,,,,,,,,,,,,,,,,,,,,
6,Marcus Sasser,28:29,11,17,.647,3,7,.429,1,1,1.000,0,6,6,2,1,0,3,1,26,+5
7,Marvin Bagley III,19:33,5,6,.833,0,0,,2,2,1.000,2,0,2,2,0,1,1,4,12,+1
8,Jared Rhoden,12:43,3,4,.750,0,1,.000,0,0,,0,1,1,3,0,0,0,2,6,+10
9,Stanley Umude,8:55,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,2,1,2,-2
10,Malcolm Cazalon,Did Not Play,,,,,,,,,,,,,,,,,,,
11,James Wiseman,Did Not Play,,,,,,,,,,,,,,,,,,,
