,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Anthony Edwards,37:04,11,22,.500,4,7,.571,9,10,.900,2,2,4,5,1,1,6,1,35,-15
1,Karl-Anthony Towns,36:10,8,19,.421,0,4,.000,6,7,.857,2,4,6,2,0,0,1,2,22,-18
2,Jaden McDaniels,33:00,5,10,.500,1,3,.333,0,0,,0,0,0,2,2,1,1,3,11,-19
3,Mike Conley,25:57,3,5,.600,1,3,.333,0,0,,0,0,0,9,1,0,0,1,7,-14
4,Rudy Gobert,23:54,2,3,.667,0,0,,1,2,.500,1,4,5,0,0,1,1,4,5,-16
5,player,,,,,,,,,,,,,,,,,,,,
6,Naz Reid,24:35,3,8,.375,2,5,.400,0,0,,0,6,6,2,0,2,1,2,8,+3
7,Nickeil Alexander-Walker,18:53,1,3,.333,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,0,4,-5
8,Jordan McLaughlin,17:22,1,6,.167,0,4,.000,1,2,.500,2,1,3,4,1,0,0,0,3,+5
9,Kyle Anderson,13:23,0,2,.000,0,0,,1,2,.500,1,3,4,0,2,0,0,0,1,0
10,Shake Milton,3:14,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+8
11,Troy Brown Jr.,3:14,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,+8
12,Josh Minott,3:14,0,0,,0,0,,2,2,1.000,0,0,0,0,0,1,0,0,2,+8
13,Daishen Nix,Did Not Play,,,,,,,,,,,,,,,,,,,
