,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Grayson Allen,36:35,.678,.667,.444,.333,0.0,6.6,3.5,12.1,0.0,2.8,8.8,14.8,130,105,-1.0
1,Eric Gordon,34:28,.597,.533,.733,.267,0.0,3.5,1.8,9.1,0.0,0.0,10.7,26.0,111,108,-4.0
2,Devin Booker,33:22,.801,.786,.190,.429,4.0,14.4,9.5,33.0,6.3,3.1,16.7,43.0,131,89,20.3
3,Jusuf Nurkić,32:32,.444,.400,.400,.800,8.2,33.2,21.4,24.6,3.2,6.3,22.8,12.9,109,90,4.3
4,Keita Bates-Diop,23:38,.510,.400,.200,.400,5.6,15.2,10.7,5.8,2.2,8.6,0.0,11.9,123,94,2.8
5,player,,,,,,,,,,,,,,,,
6,Josh Okogie,27:56,.265,.278,.444,.111,4.8,25.8,15.8,14.5,1.9,0.0,0.0,16.2,81,100,-6.9
7,Jordan Goodwin,20:15,.829,.813,.375,.125,13.2,17.8,15.6,19.1,2.6,0.0,10.6,22.3,153,100,12.1
8,Nassir Little,15:46,.532,.000,1.000,2.000,0.0,30.4,16.0,0.0,3.4,0.0,34.7,8.7,74,95,-7.1
9,Chimezie Metu,15:28,.387,.333,.333,.667,0.0,15.5,8.2,8.6,0.0,0.0,0.0,12.0,95,105,-9.5
10,Udoka Azubuike,Did Not Play,,,,,,,,,,,,,,,
11,Bol Bol,Did Not Play,,,,,,,,,,,,,,,
12,Saben Lee,Did Not Play,,,,,,,,,,,,,,,
