,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Terry Rozier,40:00,.485,.438,.458,.167,2.5,9.4,6.1,31.1,1.3,3.7,7.2,29.9,106,118,0.4
1,Miles Bridges,39:47,.533,.533,.533,.000,5.0,14.2,9.7,7.9,3.8,0.0,6.3,17.3,109,111,-1.1
2,Brandon Miller,38:53,.416,.393,.429,.071,0.0,14.5,7.5,14.5,1.3,1.9,12.2,18.2,86,116,-6.1
3,Gordon Hayward,35:23,.668,.611,.222,.278,5.7,5.3,5.5,21.3,4.2,2.1,19.8,30.7,112,115,6.5
4,Nick Richards,27:37,.615,.500,.000,.500,21.7,17.0,19.3,0.0,0.0,8.0,29.1,10.7,116,115,-6.4
5,player,,,,,,,,,,,,,,,,
6,P.J. Washington,28:36,.346,.346,.538,.000,3.5,16.5,10.2,20.8,1.7,5.2,7.1,21.1,84,112,-5.3
7,Bryce McGowens,15:50,1.250,1.250,.500,.000,0.0,5.9,3.1,9.2,0.0,0.0,33.3,8.2,138,125,-4.4
8,Ish Smith,13:54,,,,,0.0,6.8,3.5,26.6,0.0,0.0,100.0,6.2,57,124,-12.9
9,Leaky Black,Did Not Play,,,,,,,,,,,,,,,
10,James Bouknight,Did Not Play,,,,,,,,,,,,,,,
11,Théo Maledon,Did Not Play,,,,,,,,,,,,,,,
12,Nick Smith Jr.,Did Not Play,,,,,,,,,,,,,,,
13,JT Thor,Did Not Play,,,,,,,,,,,,,,,
