,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Anthony Davis,42:48,.678,.588,.059,.588,8.2,32.7,21.4,28.3,3.3,11.0,18.9,25.8,117,93,13.9
1,LeBron James,38:11,.333,.333,.333,.000,0.0,15.7,8.5,41.2,0.0,0.0,10.0,21.9,79,113,-5.6
2,Austin Reaves,36:47,.752,.667,.500,.750,0.0,13.6,7.3,40.4,0.0,0.0,15.8,21.6,133,113,7.4
3,Taurean Prince,28:48,.000,.000,.833,.000,0.0,17.4,9.4,9.5,0.0,0.0,14.3,10.2,16,113,-13.7
4,Cam Reddish,18:40,.000,.000,1.000,.000,0.0,0.0,0.0,7.3,0.0,0.0,80.0,11.2,9,116,-18.5
5,player,,,,,,,,,,,,,,,,
6,Max Christie,28:22,.543,.500,.750,.167,4.1,14.1,9.5,0.0,0.0,0.0,13.4,22.0,93,113,-4.6
7,Christian Wood,24:13,.574,.500,.200,.300,19.3,16.5,17.8,23.7,0.0,3.9,15.0,23.0,112,110,3.9
8,Jarred Vanderbilt,15:31,.667,.667,.000,.000,0.0,12.9,7.0,0.0,0.0,0.0,40.0,13.5,63,114,-8.2
9,Jalen Hood-Schifino,6:01,.000,.000,.000,.000,19.5,16.6,17.9,0.0,0.0,0.0,0.0,27.9,18,112,-29.7
10,Jaxson Hayes,0:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-7.4
11,Rui Hachimura,Did Not Dress,,,,,,,,,,,,,,,
12,D'Angelo Russell,Did Not Dress,,,,,,,,,,,,,,,
