,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Mikal Bridges,37:47,.465,.450,.550,.050,5.1,12.1,8.3,14.9,1.3,2.8,0.0,23.1,109,124,0.3
1,Cam Thomas,37:22,.533,.500,.250,.125,0.0,15.3,7.0,13.3,1.3,2.9,0.0,28.9,114,123,2.8
2,Royce O'Neale,36:56,.200,.200,.867,.000,2.6,9.3,5.7,9.7,1.3,2.9,0.0,17.3,61,125,-11.3
3,Dorian Finney-Smith,36:46,.700,.700,.900,.000,10.4,12.4,11.4,3.6,0.0,0.0,0.0,11.6,153,129,1.2
4,Spencer Dinwiddie,35:17,.620,.679,.500,.214,0.0,19.4,8.9,25.4,0.0,0.0,6.1,19.7,126,127,2.3
5,player,,,,,,,,,,,,,,,,
6,Lonnie Walker IV,17:17,.732,.688,.250,.250,0.0,19.8,9.1,9.5,0.0,0.0,10.1,24.4,131,127,4.3
7,Day'Ron Sharpe,16:48,.731,.750,.000,2.000,17.1,27.2,21.7,8.3,0.0,0.0,21.0,24.2,130,125,-0.9
8,Dennis Smith Jr.,14:30,.500,.500,.800,.000,0.0,7.9,3.6,9.1,3.3,14.7,16.7,17.7,89,113,0.8
9,Trendon Watford,5:03,,,,,0.0,45.3,20.7,44.2,0.0,0.0,,0.0,240,120,5.2
10,Armoni Brooks,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-8.3
11,Jalen Wilson,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-9.8
12,Harry Giles,Did Not Play,,,,,,,,,,,,,,,
13,Keon Johnson,Did Not Play,,,,,,,,,,,,,,,
