,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Stephen Curry,40:21,10,20,.500,6,12,.500,8,8,1.000,0,6,6,3,1,0,3,0,34,-5
1,Klay Thompson,38:40,8,15,.533,4,9,.444,2,2,1.000,1,3,4,0,0,1,4,4,22,+11
2,Draymond Green,35:03,5,7,.714,1,2,.500,1,2,.500,1,4,5,13,0,1,4,6,12,-2
3,Andrew Wiggins,32:16,4,11,.364,2,4,.500,2,2,1.000,2,4,6,1,0,0,6,3,12,-1
4,Kevon Looney,15:41,2,2,1.000,0,0,,1,3,.333,1,3,4,2,0,0,2,1,5,+3
5,player,,,,,,,,,,,,,,,,,,,,
6,Jonathan Kuminga,28:54,10,21,.476,3,6,.500,1,1,1.000,6,6,12,0,0,0,3,6,24,-15
7,Brandin Podziemski,23:00,5,11,.455,1,4,.250,1,1,1.000,5,1,6,4,1,0,1,2,12,-1
8,Dario Šarić,22:34,3,8,.375,2,6,.333,3,4,.750,6,6,12,3,1,0,3,2,11,+4
9,Moses Moody,15:49,1,6,.167,0,4,.000,0,0,,2,2,4,0,0,0,2,4,2,-7
10,Cory Joseph,12:38,1,3,.333,0,1,.000,0,0,,0,1,1,3,0,0,0,0,2,+3
11,Trayce Jackson-Davis,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Chris Paul,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Gary Payton II,Did Not Play,,,,,,,,,,,,,,,,,,,
