,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Franz Wagner,35:14,5,15,.333,1,7,.143,2,2,1.000,1,6,7,3,2,0,7,1,13,-20
1,Paolo Banchero,34:29,7,16,.438,1,4,.250,8,12,.667,1,8,9,7,2,0,2,2,23,-23
2,Wendell Carter Jr.,27:53,6,9,.667,2,4,.500,1,2,.500,1,5,6,3,0,0,0,5,15,-22
3,Jalen Suggs,27:49,1,7,.143,1,6,.167,0,0,,0,3,3,4,0,0,0,2,3,-9
4,Markelle Fultz,27:38,5,10,.500,1,2,.500,2,2,1.000,1,0,1,4,1,1,2,3,13,-9
5,player,,,,,,,,,,,,,,,,,,,,
6,Gary Harris,19:16,3,6,.500,0,3,.000,1,1,1.000,1,0,1,1,1,0,0,1,7,-17
7,Moritz Wagner,16:19,1,4,.250,0,1,.000,1,2,.500,3,0,3,0,0,1,1,2,3,-4
8,Joe Ingles,15:05,3,4,.750,3,4,.750,0,0,,0,1,1,1,0,0,0,0,9,+1
9,Cole Anthony,13:37,2,3,.667,0,1,.000,0,0,,0,3,3,0,1,0,2,1,4,-1
10,Jonathan Isaac,10:12,1,2,.500,1,2,.500,0,0,,0,3,3,1,0,1,2,0,3,-18
11,Chuma Okeke,3:07,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2
12,Goga Bitadze,3:07,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-2
13,Anthony Black,3:07,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2
14,Caleb Houstan,3:07,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
